	Cases	Singular	Dual	Plural
0	Nominative	επικουρημα	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
1	Genitive	επικουρημα	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
2	Dative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	επικουρημα	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
4	Vocative	επικουρημα	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
