Case / #,Singular,Dual,Plural,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
nominative,ᾱ̔ γῠνά,τὼ γῠναῖκε,ταὶ γῠναῖκες,,,,,,,,,,
genitive,τᾶς γῠναικός,τοῖν γῠναικαῖν,τᾶν γῠναικᾶν,,,,,,,,,,
dative,τᾷ γῠναικί,τοῖν γῠναικαῖν,ταῖς γῠναιξί,,,,,,,,,,
accusative,τᾱ̀ν γῠναῖκᾰ,τὼ γῠναῖκε,τᾱ̀ς γῠναῖκᾰς,,,,,,,,,,
vocative,γύναι,γῠναῖκε,γῠναῖκες,,,,,,,,,,
notes:,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.
gender,f,f,f,f,f,f,f,f,f,f,f,f,f
