Case / #,Singular,Dual,Plural,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
nominative,ὁ βᾰσῐλεύς,τὼ βᾰσῐλῆ,οἱ βᾰσῐλῆς,,,,,,,,,,
genitive,τοῦ βᾰσῐλέως,τοῖν βᾰσῐλέοιν,τῶν βᾰσῐλέων,,,,,,,,,,
dative,τῷ βᾰσῐλεῖ,τοῖν βᾰσῐλέοιν,τοῖς βᾰσῐλεῦσῐ,,,,,,,,,,
accusative,τὸν βᾰσῐλέᾱ,τὼ βᾰσῐλῆ,τοὺς βᾰσῐλέᾱς,,,,,,,,,,
vocative,βᾰσῐλεῦ,βᾰσῐλῆ,βᾰσῐλῆς,,,,,,,,,,
notes:,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects
