	Cases	Singular	Dual	Plural
0	Nominative	ιδμοσυνη	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
1	Genitive	ιδμοσυνη	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
2	Dative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ιδμοσυνησιν
3	Accusative	ιδμοσυνην	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
4	Vocative	ιδμοσυνη	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
