	Cases	Singular	Dual	Plural
0	Nominative	ευπᾰτρις	ERROR: Nothing found with those parameters	ευπατριδες
1	Genitive	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ευπατριδες
2	Dative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ευπατριδας
4	Vocative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ευπατριδες
