	Cases	Singular	Dual	Plural
0	Nominative	θεωρις	ERROR: Nothing found with those parameters	θεωριδες
1	Genitive	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	θεωριδες
2	Dative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	θεωριδα	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
4	Vocative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	θεωριδες
