Case / #,Singular,Dual,Plural
Nominative,ἡ  Τρωᾰ́ς,τὼ  Τρωᾰ́δε,αἱ  Τρωᾰ́δες
Genitive,τῆς  Τρωᾰ́δος,τοῖν  Τρωᾰ́δοιν,τῶν  Τρωᾰ́δων
Dative,τῇ  Τρωᾰ́δῐ,τοῖν  Τρωᾰ́δοιν,ταῖς  Τρωᾰ́σῐ  /  Τρωᾰ́σῐν
Accusative,τὴν  Τρωᾰ́δᾰ,τὼ  Τρωᾰ́δε,τᾱ̀ς  Τρωᾰ́δᾰς
Vocative,Τρωᾰ́ς,Τρωᾰ́δε,Τρωᾰ́δες
