	Cases	Singular	Dual	Plural
0	Nominative	ζᾰλα	ERROR: Nothing found with those parameters	ζαλαι
1	Genitive	ζᾰλα	ERROR: Nothing found with those parameters	ζαλαι
2	Dative	ζαλη	ERROR: Nothing found with those parameters	ζαλαις
3	Accusative	ζαλην	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
4	Vocative	ζᾰλα	ERROR: Nothing found with those parameters	ζαλαι
