	Cases	Singular	Dual	Plural
0	Nominative	επιτιμια	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
1	Genitive	επιτιμια	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
2	Dative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	επιτιμιαν	ERROR: Nothing found with those parameters	επιτιμιας
4	Vocative	επιτιμια	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
