Case / #,Singular
Nominative,ἡ  Τρωᾰ́ς
Genitive,τῆς  Τρωᾰ́δος
Dative,τῇ  Τρωᾰ́δῐ
Accusative,τὴν  Τρωᾰ́δᾰ
Vocative,Τρωᾰ́ς
