	Cases	Singular	Dual	Plural
0	Nominative	αγμα	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
1	Genitive	αγμα	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
2	Dative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	αγμα	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
4	Vocative	αγμα	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
