Case / #,Singular,Dual,Plural
Nominative,ὁ  Ῥωμαῖος,τὼ  Ῥωμαίω,οἱ  Ῥωμαῖοι
Genitive,τοῦ  Ῥωμαίου,τοῖν  Ῥωμαίοιν,τῶν  Ῥωμαίων
Dative,τῷ  Ῥωμαίῳ,τοῖν  Ῥωμαίοιν,τοῖς  Ῥωμαίοις
Accusative,τὸν  Ῥωμαῖον,τὼ  Ῥωμαίω,τοὺς  Ῥωμαίους
Vocative,Ῥωμαῖε,Ῥωμαίω,Ῥωμαῖοι
