	Cases	Singular	Dual	Plural
0	Nominative	αποχειροτονια	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
1	Genitive	αποχειροτονια	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
2	Dative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	αποχειροτονιας
4	Vocative	αποχειροτονια	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
