	Cases	Singular	Dual	Plural
0	Nominative	απονιμμα	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
1	Genitive	απονιμμα	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
2	Dative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	απονιμμα	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
4	Vocative	απονιμμα	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
