	Cases	Singular	Dual	Plural
0	Nominative	ευαντυξ	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
1	Genitive	ευαντυξ	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
2	Dative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
4	Vocative	ευαντυξ	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
