	Cases	Singular	Dual	Plural
0	Nominative	βαττος	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
1	Genitive	βαττ	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
2	Dative	βαττω	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	βαττον	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
4	Vocative	βαττ	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
