case \ number,singular,plural
nominative,Ελληνίδα  ,Ελληνίδες  
genitive,Ελληνίδας  ,Ελληνίδων  
accusative,Ελληνίδα  ,Ελληνίδες  
vocative,Ελληνίδα  ,Ελληνίδες  
