	Cases	Singular	Dual	Plural
0	Nominative	αναμετρησις	ERROR: Nothing found with those parameters	αναμετρησεις
1	Genitive	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	αναμετρησεις
2	Dative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	αναμετρησιν	ERROR: Nothing found with those parameters	αναμετρησις
4	Vocative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	αναμετρησεις
