	Cases	Singular	Dual	Plural
0	Nominative	αιθοψ	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
1	Genitive	αιθοψ	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
2	Dative	αιθοπι	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	αιθοπα	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
4	Vocative	αιθοψ	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
