{id{bare_text{definition
0{36489{A{
1{36490{a{from, away from, out of
2{36491{abactus{driven away, driven off
3{36492{abacus{ a table of precious material for the display of plate
4{36493{abalienatio{a transfer of property, sale, cession
5{36494{abalieno{to convey away, make a former transfer of, sell, alienate
6{36495{Abanteus{ of Abas (king of Argos): Argi, O. 
7{36496{Abantiades{ a son or descendant of Abas (king of Argos), O.
8{36497{abavus{a grandfather's grandfather
9{36498{abcido{
10{36499{Abdera{ a town of Thrace, proverbial for narrow-minded people
11{36500{abdicatio{a formal laying down, voluntary renunciation, abdication
12{36501{abdico{
13{36502{abdico{to forbid by an unfavorable omen, reject (opp. addico)
14{36503{abditus{hidden, concealed, secret
15{36504{abdo{to put away, remove, set aside
16{36505{abdomen{ the belly, abdomen: 
17{36506{abduco{to lead away, take away, carry off, remove, lead aside:
18{36507{Abella{ a town of Campania, V.
19{36508{abeo{ to go from, go away, go off, go forth, go, depart:
20{36509{abequito{to ride away (once):
21{36510{aberam{
22{36511{aberratio{a relief, diversion
23{36512{aberro{to wander out of the way, lose the way, go astray:
24{36513{abfore{
25{36514{abhinc{ of time, ago, since, before now
26{36515{abhorrens{incongruous, inappropriate
27{36516{abhorreo{to shrink back from, have an aversion for, shudder at, abhor:
28{36517{abicio{to throw from one, cast away, throw away, throw down
29{36518{abiecte{dispiritedly, abjectly
30{36519{abiectio{a casting down
31{36520{abiectus{low, crouching
32{36521{abiegnus{of fir-wood, deal
33{36522{abies{ the fir-tree, silver-fir:
34{36523{abigo{to drive away, drive off
35{36524{abiicio{
36{36525{abin{
37{36526{abitio{a departure
38{36527{abitus{a departure, removal
39{36528{abiudico{to give judgment against, deprive by a judicial decision, adjudge away:
40{36529{abiungo{to unyoke, loose from harness:
41{36530{abiuro{to deny on oath, abjure:
42{36531{ablatus{P. of aufero.
43{36532{ablegatio{a sending away, sending off
44{36533{ablego{to send off, send out of the way, banish, send into exile:
45{36534{abligurrio{to consume in dainty living, waste in feasting (rare):
46{36535{abludo{to play out of tune.
47{36536{abluo{to wash away, remove by washing:
48{36537{abnego{to refuse, deny (poet.):
49{36538{abnormis{deviating from rule, irregular
50{36539{abnuo{to refuse by a sign, deny, refuse, reject, decline:
51{36540{abnuto{to forbid with emphasis
52{36541{aboleo{to destroy, abolish, efface, put out of the way, annihilate
53{36542{abolesco{to decay gradually, vanish, disappear, die out
54{36543{abolitio{an abolition
55{36544{abolla{ a mantle, cloak, 
56{36545{abominor{ orig. of bad omens, to deprecate, wish to nullify:
57{36546{Aborigines{the first ancestors of the Romans
58{36547{abortio{ the procuring of an untimely birth, abortion:
59{36548{abortivus{ prematurely born:
60{36549{abortus{ an untimely birth
61{36550{abrado{to scrape away, shave off:
62{36551{abreptus{P. of abripio.
63{36552{abripio{to take forcibly away, snatch away, tear from, force off
64{36553{abrogatio{repeal
65{36554{abrogo{to repeal, annul, abrogate:
66{36555{abrotonum{ an aromatic plant, southern-wood (a medicine),
67{36556{abrumpo{to break off, break away, tear, rend, burst, sever:
68{36557{abruptio{a breaking off
69{36558{abruptus{broken off, cut off
70{36559{abs{
71{36560{abscedo{to give way, go off, move away, retire, withdraw, depart:
72{36561{abscessio{ diminution (once)
73{36562{abscessus{ a going away, departure, absence:
74{36563{abscidi{ of abscīdo.
75{36564{abscidi{ of abscindo.
76{36565{abscido{to cut off, hew off
77{36566{abscindo{to tear off, break away, break off:
78{36567{abscisio{ in rhet., a breaking off, interruption
79{36568{abscissus{P. of abscindo.
80{36569{abscisus{cut off, severed
81{36570{abscondite{obscurely, abstrusely
82{36571{absconditus{concealed, secret, hidden
83{36572{abscondo{to put out of sight, hide, conceal:
84{36573{absens{absent
85{36574{absentia{absence
86{36575{absimilis{ unlike (once):
87{36576{absisto{to withdraw from, depart, go away:
88{36577{absolute{completely, perfectly, fully, absolutely
89{36578{absolutio{an acquittal
90{36579{absolutus{complete, finished
91{36580{absolvo{to set free, release, discharge:
92{36581{absonus{ deviating from the right tone, discordant, inharmonious:
93{36582{absorbeo{to swallow down, devour:
94{36583{absp-{
95{36584{absque{ prop., apart from, away from;
96{36585{abstemius{ abstaining from drink, temperate, abstemious, moderate:
97{36586{abstergeo{to wipe off, cleanse by wiping:
98{36587{absterreo{to frighten off, drive away:
99{36588{abstinens{abstinent, temperate, moderate
100{36589{abstinenter{ unselfishly, modestly (rare); versatus.
101{36590{abstinentia{abstinence, starvation
102{36591{abstineo{to keep back, keep off, hold back
103{36592{absto{to stand off (rare):
104{36593{abstractus{P. of abstraho.
105{36594{abstraho{to drag away, draw off, pull away, detach:
106{36595{abstrudo{to thrust away, push into concealment, hide, conceal:
107{36596{abstrusus{hidden, concealed, secret
108{36597{abstuli{ of aufero.
109{36598{absum{ abesse, in general, to be away from, be absent:
110{36599{absumo{to take away, diminish, use up, consume, exhaust:
111{36600{absurde{inharmoniously
112{36601{absurdus{out of tune, discordant, harsh:
113{36602{abundans{of rivers, etc., overflowing, full
114{36603{abundanter{fully, copiously
115{36604{abundantia{plenty, fullness, abundance
116{36605{abunde{in profusion, more than enough, abundantly, amply
117{36606{abundo{to overflow, stream over, of a river or lake:
118{36607{abusio{the improper use of a word
119{36608{abusque{praep. with abl, all the way from:
120{36609{abusus{an abusing, using up
121{36610{abutor{ to use up, consume, spend, exhaust:
122{36611{Abydenus{ of Abydus, a town in Mysia:
123{36612{ac{
124{36613{Academia{ the gymnasium near Athens, where Plato taught.
125{36614{Academicus{ of the Academy, Academic:
126{36615{Academicus{ an Academic philosopher;
127{36616{Academica{ the title of Cicero's treatise on the Academic philosophy.
128{36617{Academus{
129{36618{acalanthis{
130{36619{acanthus{
131{36620{Acarnanicus{
132{36621{Acbarus{
133{36622{accedo{ to go to, come to, come near, draw near, approach, enter:
134{36623{acceleratio{a hastening
135{36624{accendo{to kindle, set on fire, light
136{36625{accenseo{to reckon to, count among (rare):
137{36626{accensus{an attendant of a magistrate, apparitor, orderly
138{36627{accensi{ unarmed supernumeraries of a legion, ready to fill vacancies:
139{36628{accensus{P. of accendo.
140{36629{acceptio{a taking, receiving, accepting
141{36630{accepto{to take, receive
142{36631{acceptum{the receipt
143{36632{acceptus{welcome, acceptable, pleasing, dear
144{36633{accerso{
145{36634{accessio{a coming to, approach
146{36635{accessus{a coming near, approach
147{36636{Accianus{of the poet Lu. Accius
148{36637{accido{to fall upon, fall to, reach by falling
149{36638{accido{to cut, cut at, cut into, cut down, fell
150{36639{accisus{ impaired, ruined, disordered, overthrown, destroyed:
151{36640{accingo{to gird to, gird on, bind on, put on with a girdle, gird round:
152{36641{accio{to call, summon, send for, invite:
153{36642{accipio{to take without effort, receive, get, accept
154{36643{accipiter{a bird of prey, falcon, hawk
155{36644{accisus{ P. of 2 accīdo.
156{36645{accitus{
157{36646{accitus{a summons, call
158{36647{acclamatio{a calling, shout, exclamation
159{36648{acclamo{to call to, shout at, exclaim:
160{36649{acclaro{to make clear, reveal, disclose
161{36650{acclinatus{recumbent, curved
162{36651{acclinis{leaning on, inclined to
163{36652{acclino{to cause to lean on, stay upon
164{36653{acclivis{up-hill, ascending, steep
165{36654{acclivitas{an ascent, rising grade, acclivity
166{36655{acclivus{
167{36656{accola{he who dwells near, a neighbor
168{36657{accolo{to dwell near, be a neighbor to:
169{36658{accommodate{fitly, suitably, in accordance
170{36659{accommodatio{an adjustment, accommodation
171{36660{accommodatus{fitted, fit, suitable, adapted, appropriate to, in accordance with
172{36661{accommodo{to fit, adapt, put on, apply:
173{36662{accommodus{ fit for, suitable for:
174{36663{accredo{to accord belief, believe fully:
175{36664{accresco{to grow progressively, increase, become greater:
176{36665{accretio{an increase
177{36666{accubatio{
178{36667{accubitio{a lying, reclining
179{36668{accubo{to lie at, lie beside
180{36669{accumbo{to lay oneself down, lie beside
181{36670{accumulate{abundantly, copiously
182{36671{accumulator{one who heaps up:
183{36672{accumulo{to heap up, increase by heaping, amass:
184{36673{accurate{carefully, precisely, exactly, nicely
185{36674{accuratio{exactness, carefulness
186{36675{accuratus{carefully wrought, elaborate, finished, exact
187{36676{accuro{to give close attention to, be careful:
188{36677{accurro{to run to, hasten to:
189{36678{accursus{ a running to, coming to:
190{36679{accusabilis{that may be prosecuted, criminal
191{36680{accusatio{a formal complaint, indictment, accusation, prosecution
192{36681{accusator{the accuser, prosecutor, plaintiff
193{36682{accusatorie{as a prosecutor, in an accusing manner
194{36683{accusatorius{of a prosecutor, relating to a prosecution, making a complaint
195{36684{accuso{to call to account, make complaint against, reproach, blame, accuse
196{36685{acer{the maple-tree
197{36686{acer{sharp, piercing, penetrating, cutting, irritating, pungent
198{36687{acerbe{bitterly
199{36688{acerbitas{bitterness, harshness, sourness
200{36689{acerbo{to aggravate, make worse
201{36690{acerbus{harsh, bitter, unripe
202{36691{acernus{of maple wood
203{36692{acerra{a casket for incense
204{36693{acerrime{ of acriter.
205{36694{acersecomes{unshorn, i. e. ever youthful.
206{36695{acervalis{a conclusion by accumulation, sorites
207{36696{acervatim{by heaps, in heaps
208{36697{acervo{to heap up, pile up
209{36698{acervus{ a mass of similar objects, pile, heap:
210{36699{acesco{to turn sour, sour
211{36700{acetum{vinegar
212{36701{Achaei{ the inhabitants of the district of Achaia.
213{36702{Achaemenes{ an ancestor of the kings of Persia:
214{36703{Achaemenius{Persian, Parthian
215{36704{Achaias{ a Greek woman
216{36705{Achaicus{ Achaean, Grecian:
217{36706{Achais{ Grecian:
218{36707{Achaius{ Grecian:
219{36708{Acharnanus{ of Acharnae (an Attic deme),
220{36709{Acheloius{ of the river Achelous:
221{36710{Acheron{ a river of the lower world.
222{36711{Acheruns{ a river of the lower world.
223{36712{Acherusius{ of the Acheron in Bruttium:
224{36713{Achilles{ a Grecian hero.
225{36714{Achilleus{ of Achilles
226{36715{Achivus{ Achaean, Grecian, O.
227{36716{Acidalia{ an epithet of Venus, from the fountain Acidalia in Boeotia, V. 
228{36717{acidus{sour, acid, tart
229{36718{acies{a sharp edge, point, cutting part
230{36719{acinaces{ a scimitar, short sabre, H., Cu.
231{36720{acinus{
232{36721{acinum{ a small berry:
233{36722{acipenser{a sea-fish
234{36723{aclys{ a small javelin with a strap, V.
235{36724{acoenonoetus{ without common-sense, Iu.
236{36725{aconitum{ a poisonous plant, wolf's-bane, aconite, O., V.—Poet., poison:
237{36726{acquiesco{
238{36727{Acragas{ Agrigentum, V.
239{36728{acratophoron{ a vessel for unmixed wine.
240{36729{acredula{ an unknown animal.
241{36730{acriculus{irritable
242{36731{acrimonia{sharpness, pungency
243{36732{Acrisioneus{ of Acrisius, V., O.
244{36733{Acrisioniades{ a descendant of Acrisius, i. e. Perseus, O.
245{36734{Acrisius{ a king of Argos, V., O.
246{36735{acriter{sharply, fiercely
247{36736{acroama{ an entertainment for the ear; 
248{36737{acroasis{ prop., a hearing; hence, a discourse, lecture, C.
249{36738{Acroceraunia{ a rocky promontory of Epirus
250{36739{acta{ the sea-shore, sea-beach:
251{36740{aota{ see actum.
252{36741{Actaeon{ grandson of Cadmus
253{36742{Actaeus{ prop. of Acte (the coast of Attica).
254{36743{Actaei{ the people of Attica
255{36744{Actiacus{of Actium:
256{36745{Actias{ Athenian
257{36746{actio{a putting in motion
258{36747{actito{to conduct often, be engaged in, act in
259{36748{Actium{ a promontory of Acarnania
260{36749{Actius{ of Actium:
261{36750{actor{a driver
262{36751{actuaria{a swift boat
263{36752{actuariola{a row-boat, barge
264{36753{actuarius{easily driven, swift
265{36754{actum{a deed, transaction, proposition, decree, law
266{36755{actuose{passionately, eagerly
267{36756{actuosus{full of life, active
268{36757{actus{
269{36758{actus{a driving, impulse, setting in motion
270{36759{actutum{ immediately, forthwith:
271{36760{aculeatus{with a sting
272{36761{aculeus{a sting
273{36762{acumen{a point
274{36763{acuo{to sharpen, whet, point, make sharp
275{36764{acus{a needle
276{36765{acute{sharply
277{36766{acutulus{rather keen
278{36767{acutum{ see acutus.
279{36768{acutus{sharpened, pointed, sharp, cutting
280{36769{ad{to, toward
281{36770{adactio{a compelling, exaction
282{36771{adactus{P. of adigo.
283{36772{adaeque{ in like manner, so also
284{36773{adaequo{to make equal, equalize, level with:
285{36774{adamanteus{hard as steel, adamantine, not to be broken
286{36775{adamantinus{ hard as steel, inflexible:
287{36776{adamas{ adamant, hardest iron, steel:
288{36777{adamo{to fall in love with, conceive desire for, desire eagerly:
289{36778{adaperio{to throw open, open wide, lay open:
290{36779{adapertilis{that may be opened
291{36780{adapertus{open, wide open
292{36781{adaquor{ to obtain water, fetch water (once):
293{36782{adaugeo{to increase by adding, augment:
294{36783{adaugesco{to grow, increase
295{36784{adbibo{to take in by drinking:
296{36785{adc-{
297{36786{addenseo{to crowd together:
298{36787{addenso{
299{36788{addico{to give assent.
300{36789{addictio{ an award, adjudging (rare):
301{36790{addictus{P. of addico.
302{36791{addisco{to learn in addition, gain knowledge of:
303{36792{additamentum{an accession
304{36793{addo{to put to, place upon, lay on, join, attach
305{36794{addoceo{to teach in addition (once):
306{36795{addubito{to entertain a doubt, incline to doubt, hesitate, be uncertain:
307{36796{adduco{to lead to, bring to, bring along
308{36797{adducte{strictly, severely
309{36798{adductus{strict, severe
310{36799{adedo{to eat away, gnaw at, consume:
311{36800{Adelphi{ The Brothers (a comedy), T.
312{36801{ademptio{a taking away, depriving
313{36802{ademptus{P. of adimo.
314{36803{adeo{ to submit a cause to a referee:
315{36804{adeo{ To designate a limit, to this, thus far, so far, as far.
316{36805{adeps{ the soft fat of non-ruminating animals, fat.
317{36806{adeptio{an obtaining, attainment
