	Cases	Singular	Dual	Plural
0	Nominative	θρασυδειλος	ERROR: Nothing found with those parameters	θρασυδειλοι
1	Genitive	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	θρασυδειλοι
2	Dative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
4	Vocative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	θρασυδειλοι
