	Cases	Singular	Dual	Plural
0	Nominative	ηνιον	ERROR: Nothing found with those parameters	ηνι
1	Genitive	ηνιον	ERROR: Nothing found with those parameters	ηνι
2	Dative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	ηνιον	ERROR: Nothing found with those parameters	ηνι
4	Vocative	ηνιον	ERROR: Nothing found with those parameters	ηνι
