case \ number,singular,plural
nominative,Αλγερινός  ,Αλγερινοί  
genitive,Αλγερινού  ,Αλγερινών  
accusative,Αλγερινό  ,Αλγερινούς  
vocative,Αλγερινέ  ,Αλγερινοί  
