Case / #,Singular
Nominative,ἡ  Σπᾰρτῐᾶτῐς
Genitive,τῆς  Σπᾰρτῐᾱ́τῐδος
Dative,τῇ  Σπᾰρτῐᾱ́τῐδῐ
Accusative,τὴν  Σπᾰρτῐᾱ́τῐδᾰ
Vocative,Σπᾰρτῐᾶτῐς
