case \ number,singular,plural
nominative,Αθηναίος  ,Αθηναίοι  
genitive,Αθηναίου  ,Αθηναίων  
accusative,Αθηναίο  ,Αθηναίους  
vocative,Αθηναίε  ,Αθηναίοι  
