	Cases	Singular	Dual	Plural
0	Nominative	αργῐκεραυνος	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
1	Genitive	αργικεραυνε	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
2	Dative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
4	Vocative	αργικεραυνε	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
