	FPP	POS	Dictionary Entry
0	A	exclaimation	A indecl.
1	a	exclaimation	a indecl.
2	abactus		abactus indecl.
3	abacus	noun	abacus, abaci, m
4	abalienatio	noun	abalienatio, f indecl.
5	abalieno	verb	abalieno, abalienare, NULL, abalienatus
6	Abanteus	adj	Abanteus, NULL, NULL
7	Abantiades	noun	Abantiades, m indecl.
8	abavus	noun	abavus, abavi, m
9	NULL	verb	NULL, NULL, NULL, NULL
10	Abdera	noun	Abdera, f indecl.
11	abdicatio	noun	abdicatio, abdicationis, f
12	abdico	verb	abdico, abdicare, NULL, abdicatus
13	abdico	verb	abdico, NULL, NULL, NULL
14	abditus	adj	abditus, abdita, abditum
15	abdo	verb	abdo, abdere, abdidi, abditus
16	abdomen	noun	abdomen, abdominis, n
17	abduco	verb	abduco, abducere, abduxi, abductus
18	Abella	noun	Abella, abellae, f
19	abeo	verb	abeo, abire, abii, abitus
20	NULL	verb	NULL, NULL, NULL, NULL
21	aberam		aberam indecl.
22	aberratio	noun	aberratio, f indecl.
23	aberro	verb	aberro, aberrare, aberravi, NULL
24	abfore		abfore indecl.
25	abhinc	adv	abhinc indecl.
26	abhorrens		abhorrens indecl.
27	abhorreo	verb	abhorreo, abhorrere, NULL, NULL
28	abicio	adv	abicio indecl.
29	abiecte		abiecte indecl.
30	abiectio		abiectio indecl.
31	abiectus		abiectus indecl.
32	abiegnus	adj	abiegnus, abiegna, NULL
33	abies	noun	abies, abietis, f
34	abigo	verb	abigo, abigere, abegi, abactus
35	abiicio		abiicio indecl.
36	abin		abin indecl.
37	abitio	noun	abitio, f indecl.
38	abitus	noun	abitus, abitus, m
39	abiudico		abiudico indecl.
40	abiungo		abiungo indecl.
41	abiuro		abiuro indecl.
42	ablatus		ablatus indecl.
43	ablegatio	noun	ablegatio, f indecl.
44	ablego	verb	ablego, NULL, NULL, NULL
45	abligurrio		abligurrio indecl.
46	abludit	verb	abludit, NULL, NULL, NULL
47	abluo	verb	abluo, abluere, ablui, ablutus
48	abnegat	verb	abnegat, NULL, NULL, NULL
49	abnormis	adj	abnormis, abnormis, NULL
50	abnuo	verb	abnuo, abnuere, abnui, NULL
51	abnuto	verb	abnuto, NULL, NULL, NULL
52	aboleo	verb	aboleo, abolere, NULL, NULL
53	abolesco		abolesco indecl.
54	abolitio	noun	abolitio, abolitionis, f
55	abolla	noun	abolla, abollae, f
56	abominor	verb	abominor, NULL, abominatus
57	Aborigines	noun	Aborigines, m indecl.
58	abortio	noun	abortio, abortionis, f
59	abortivus	adj	abortivus, abortiva, abortivum
60	abortus	noun	abortus, abortus, m
61	NULL	verb	NULL, abradere, NULL, abrasus
62	abreptus		abreptus indecl.
