	Cases	Singular	Dual	Plural
0	Nominative	επιτιμητης	ERROR: Nothing found with those parameters	επιτιμηται
1	Genitive	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	επιτιμηται
2	Dative	επιτιμηται	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	καπιτιμητην	ERROR: Nothing found with those parameters	επιτιμητας
4	Vocative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	επιτιμηται
