	Cases	Singular	Dual	Plural
0	Nominative	αχθηδων	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
1	Genitive	αχθηδων	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
2	Dative	αχθηδονι	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	αχθηδονα	ERROR: Nothing found with those parameters	αχθηδονας
4	Vocative	αχθηδων	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
