Case / #,Singular,Dual,Plural,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
nominative,ὁ στρᾰτῐώτης,τὼ στρᾰτῐώτᾱ,οἱ στρᾰτῐῶται,,,,,,,,,,
genitive,τοῦ στρᾰτῐώτου,τοῖν στρᾰτῐώταιν,τῶν στρᾰτῐωτῶν,,,,,,,,,,
dative,τῷ στρᾰτῐώτῃ,τοῖν στρᾰτῐώταιν,τοῖς στρᾰτῐώταις,,,,,,,,,,
accusative,τὸν στρᾰτῐώτην,τὼ στρᾰτῐώτᾱ,τοὺς στρᾰτῐώτᾱς,,,,,,,,,,
vocative,στρᾰτῐῶτᾰ,στρᾰτῐώτᾱ,στρᾰτῐῶται,,,,,,,,,,
notes:,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects
