Case / #,Singular,Dual,Plural
Nominative,ὁ  Μῠκηναῖος,τὼ  Μῠκηναίω,οἱ  Μῠκηναῖοι
Genitive,τοῦ  Μῠκηναίου,τοῖν  Μῠκηναίοιν,τῶν  Μῠκηναίων
Dative,τῷ  Μῠκηναίῳ,τοῖν  Μῠκηναίοιν,τοῖς  Μῠκηναίοις
Accusative,τὸν  Μῠκηναῖον,τὼ  Μῠκηναίω,τοὺς  Μῠκηναίους
Vocative,Μῠκηναῖε,Μῠκηναίω,Μῠκηναῖοι
