id	text	bare_text	sequence_num	morph_code	base_form	bare_base_form	definition
332	ᾰ̓μβλεῖς	αμβλεις	332	a-p---map	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
333	ᾰ̓μβλείᾱς	αμβλειας	333	a-p---fap	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
334	ᾰ̓μβλέᾰ	αμβλεα	334	a-p---nap	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
335	ᾰ̓μβλῠ́	αμβλυ	335	a-s---mvp	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
336	ᾰ̓μβλεῖᾰ	αμβλεια	336	a-s---fvp	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
337	ᾰ̓μβλῠ́	αμβλυ	337	a-s---nvp	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
338	ᾰ̓μβλέε	αμβλεε	338	a-d---mvp	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
339	ᾰ̓μβλείᾱ	αμβλεια	339	a-d---fvp	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
340	ᾰ̓μβλέε	αμβλεε	340	a-d---nvp	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
341	ᾰ̓μβλεῖς	αμβλεις	341	a-p---mvp	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
342	ᾰ̓μβλεῖαι	αμβλειαι	342	a-p---fvp	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
343	ᾰ̓μβλέᾰ	αμβλεα	343	a-p---nvp	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
344	ὁ δαιτρός	ο δαιτρος	344	n-s----n-	δαιτρός	δαιτρος	one that carves
345	τὼ δαιτρώ	τω δαιτρω	345	n-d----n-	δαιτρός	δαιτρος	one that carves
346	οἱ δαιτροί	οι δαιτροι	346	n-p----n-	δαιτρός	δαιτρος	one that carves
347	τοῦ δαιτροῦ	του δαιτρου	347	n-s----g-	δαιτρός	δαιτρος	one that carves
348	τοῖν δαιτροῖν	τοιν δαιτροιν	348	n-d----g-	δαιτρός	δαιτρος	one that carves
349	τῶν δαιτρῶν	των δαιτρων	349	n-p----g-	δαιτρός	δαιτρος	one that carves
350	τῷ δαιτρῷ	τω δαιτρω	350	n-s----d-	δαιτρός	δαιτρος	one that carves
351	τοῖν δαιτροῖν	τοιν δαιτροιν	351	n-d----d-	δαιτρός	δαιτρος	one that carves
352	τοῖς δαιτροῖς	τοις δαιτροις	352	n-p----d-	δαιτρός	δαιτρος	one that carves
353	τὸν δαιτρόν	τον δαιτρον	353	n-s----a-	δαιτρός	δαιτρος	one that carves
354	τὼ δαιτρώ	τω δαιτρω	354	n-d----a-	δαιτρός	δαιτρος	one that carves
355	τοὺς δαιτρούς	τους δαιτρους	355	n-p----a-	δαιτρός	δαιτρος	one that carves
356	δαιτρέ	δαιτρε	356	n-s----v-	δαιτρός	δαιτρος	one that carves
357	δαιτρώ	δαιτρω	357	n-d----v-	δαιτρός	δαιτρος	one that carves
358	δαιτροί	δαιτροι	358	n-p----v-	δαιτρός	δαιτρος	one that carves
359	ᾰ̓μφῐβῐ́ου	αμφιβιου	359	a-s---mfgp	ἀμφίβιος	αμφιβιος	living a double life
360	ᾰ̓μφῐβῐ́ου	αμφιβιου	360	a-s---ngp	ἀμφίβιος	αμφιβιος	living a double life
361	ᾰ̓μφῐβῐ́οιν	αμφιβιοιν	361	a-d---mfgp	ἀμφίβιος	αμφιβιος	living a double life
362	ᾰ̓μφῐβῐ́οιν	αμφιβιοιν	362	a-d---ngp	ἀμφίβιος	αμφιβιος	living a double life
363	ᾰ̓μφῐβῐ́ων	αμφιβιων	363	a-p---mfgp	ἀμφίβιος	αμφιβιος	living a double life
364	ᾰ̓μφῐβῐ́ων	αμφιβιων	364	a-p---ngp	ἀμφίβιος	αμφιβιος	living a double life
365	ᾰ̓μφῐβῐ́ῳ	αμφιβιω	365	a-s---mfdp	ἀμφίβιος	αμφιβιος	living a double life
366	ᾰ̓μφῐβῐ́ῳ	αμφιβιω	366	a-s---ndp	ἀμφίβιος	αμφιβιος	living a double life
367	ᾰ̓μφῐβῐ́οιν	αμφιβιοιν	367	a-d---mfdp	ἀμφίβιος	αμφιβιος	living a double life
368	ᾰ̓μφῐβῐ́οιν	αμφιβιοιν	368	a-d---ndp	ἀμφίβιος	αμφιβιος	living a double life
369	ᾰ̓μφῐβῐ́οις	αμφιβιοις	369	a-p---mfdp	ἀμφίβιος	αμφιβιος	living a double life
370	ᾰ̓μφῐβῐ́οις	αμφιβιοις	370	a-p---ndp	ἀμφίβιος	αμφιβιος	living a double life
371	ᾰ̓μφῐ́βῐον	αμφιβιον	371	a-s---mfap	ἀμφίβιος	αμφιβιος	living a double life
372	ᾰ̓μφῐ́βῐον	αμφιβιον	372	a-s---nap	ἀμφίβιος	αμφιβιος	living a double life
373	ᾰ̓μφῐβῐ́ω	αμφιβιω	373	a-d---mfap	ἀμφίβιος	αμφιβιος	living a double life
374	ᾰ̓μφῐβῐ́ω	αμφιβιω	374	a-d---nap	ἀμφίβιος	αμφιβιος	living a double life
375	ᾰ̓μφῐβῐ́ους	αμφιβιους	375	a-p---mfap	ἀμφίβιος	αμφιβιος	living a double life
376	ᾰ̓μφῐ́βῐᾰ	αμφιβια	376	a-p---nap	ἀμφίβιος	αμφιβιος	living a double life
377	ᾰ̓μφῐ́βῐε	αμφιβιε	377	a-s---mfvp	ἀμφίβιος	αμφιβιος	living a double life
378	ᾰ̓μφῐ́βῐον	αμφιβιον	378	a-s---nvp	ἀμφίβιος	αμφιβιος	living a double life
379	ᾰ̓μφῐβῐ́ω	αμφιβιω	379	a-d---mfvp	ἀμφίβιος	αμφιβιος	living a double life
380	ᾰ̓μφῐβῐ́ω	αμφιβιω	380	a-d---nvp	ἀμφίβιος	αμφιβιος	living a double life
381	ᾰ̓μφῐ́βῐοι	αμφιβιοι	381	a-p---mfvp	ἀμφίβιος	αμφιβιος	living a double life
382	ᾰ̓μφῐ́βῐᾰ	αμφιβια	382	a-p---nvp	ἀμφίβιος	αμφιβιος	living a double life
383	ὀξῠόεντος	οξυοεντος	383	a-s---mgp	ὀξυόεις	οξυοεις	sharp-pointed
384	ὀξῠοέσσης	οξυοεσσης	384	a-s---fgp	ὀξυόεις	οξυοεις	sharp-pointed
385	ὀξῠόεντος	οξυοεντος	385	a-s---ngp	ὀξυόεις	οξυοεις	sharp-pointed
386	ὀξῠοέντοιῐν	οξυοεντοιιν	386	a-d---mgp	ὀξυόεις	οξυοεις	sharp-pointed
387	ὀξῠοέσσαιν	οξυοεσσαιν	387	a-d---fgp	ὀξυόεις	οξυοεις	sharp-pointed
388	ὀξῠοέντοιῐν	οξυοεντοιιν	388	a-d---ngp	ὀξυόεις	οξυοεις	sharp-pointed
389	ὀξῠοέντων	οξυοεντων	389	a-p---mgp	ὀξυόεις	οξυοεις	sharp-pointed
390	ὀξῠοεσσᾱ́ων	οξυοεσσαων	390	a-p---fgp	ὀξυόεις	οξυοεις	sharp-pointed
391	ὀξῠοέντων	οξυοεντων	391	a-p---ngp	ὀξυόεις	οξυοεις	sharp-pointed
392	ὀξῠόεντῐ	οξυοεντι	392	a-s---mdp	ὀξυόεις	οξυοεις	sharp-pointed
393	ὀξῠοέσσῃ	οξυοεσση	393	a-s---fdp	ὀξυόεις	οξυοεις	sharp-pointed
394	ὀξῠόεντῐ	οξυοεντι	394	a-s---ndp	ὀξυόεις	οξυοεις	sharp-pointed
395	ὀξῠοέντοιῐν	οξυοεντοιιν	395	a-d---mdp	ὀξυόεις	οξυοεις	sharp-pointed
396	ὀξῠοέσσαιν	οξυοεσσαιν	396	a-d---fdp	ὀξυόεις	οξυοεις	sharp-pointed
397	ὀξῠοέντοιῐν	οξυοεντοιιν	397	a-d---ndp	ὀξυόεις	οξυοεις	sharp-pointed
398	ὀξῠόεισῐ	οξυοεισι	398	a-p---mdp	ὀξυόεις	οξυοεις	sharp-pointed
399	ὀξῠοέσσῃσῐ	οξυοεσσησι	399	a-p---fdp	ὀξυόεις	οξυοεις	sharp-pointed
400	ὀξῠόεισῐ	οξυοεισι	400	a-p---ndp	ὀξυόεις	οξυοεις	sharp-pointed
401	ὀξῠόεντᾰ	οξυοεντα	401	a-s---map	ὀξυόεις	οξυοεις	sharp-pointed
402	ὀξῠόεσσᾰν	οξυοεσσαν	402	a-s---fap	ὀξυόεις	οξυοεις	sharp-pointed
403	ὀξῠόεν	οξυοεν	403	a-s---nap	ὀξυόεις	οξυοεις	sharp-pointed
404	ὀξῠόεντε	οξυοεντε	404	a-d---map	ὀξυόεις	οξυοεις	sharp-pointed
405	ὀξῠοέσσᾱ	οξυοεσσα	405	a-d---fap	ὀξυόεις	οξυοεις	sharp-pointed
406	ὀξῠόεντε	οξυοεντε	406	a-d---nap	ὀξυόεις	οξυοεις	sharp-pointed
407	ὀξῠόεντᾰς	οξυοεντας	407	a-p---map	ὀξυόεις	οξυοεις	sharp-pointed
408	ὀξῠοέσσᾱς	οξυοεσσας	408	a-p---fap	ὀξυόεις	οξυοεις	sharp-pointed
409	ὀξῠόεντᾰ	οξυοεντα	409	a-p---nap	ὀξυόεις	οξυοεις	sharp-pointed
410	ὀξῠόεν	οξυοεν	410	a-s---mvp	ὀξυόεις	οξυοεις	sharp-pointed
411	ὀξῠόεσσᾰ	οξυοεσσα	411	a-s---fvp	ὀξυόεις	οξυοεις	sharp-pointed
412	ὀξῠόεν	οξυοεν	412	a-s---nvp	ὀξυόεις	οξυοεις	sharp-pointed
413	ὀξῠόεντε	οξυοεντε	413	a-d---mvp	ὀξυόεις	οξυοεις	sharp-pointed
414	ὀξῠοέσσᾱ	οξυοεσσα	414	a-d---fvp	ὀξυόεις	οξυοεις	sharp-pointed
415	ὀξῠόεντε	οξυοεντε	415	a-d---nvp	ὀξυόεις	οξυοεις	sharp-pointed
416	ὀξῠόεντες	οξυοεντες	416	a-p---mvp	ὀξυόεις	οξυοεις	sharp-pointed
417	ὀξῠόεσσαι	οξυοεσσαι	417	a-p---fvp	ὀξυόεις	οξυοεις	sharp-pointed
418	ὀξῠόεντᾰ	οξυοεντα	418	a-p---nvp	ὀξυόεις	οξυοεις	sharp-pointed
419	ὁ κλῠστήρ	ο κλυστηρ	419	n-s----n-	κλυστήρ	κλυστηρ	a clyster-pipe, syringe
420	τὼ κλῠστῆρε	τω κλυστηρε	420	n-d----n-	κλυστήρ	κλυστηρ	a clyster-pipe, syringe
421	οἱ κλῠστῆρες	οι κλυστηρες	421	n-p----n-	κλυστήρ	κλυστηρ	a clyster-pipe, syringe
422	τοῦ κλῠστῆρος	του κλυστηρος	422	n-s----g-	κλυστήρ	κλυστηρ	a clyster-pipe, syringe
423	τοῖν κλῠστήροιν	τοιν κλυστηροιν	423	n-d----g-	κλυστήρ	κλυστηρ	a clyster-pipe, syringe
424	τῶν κλῠστήρων	των κλυστηρων	424	n-p----g-	κλυστήρ	κλυστηρ	a clyster-pipe, syringe
425	τῷ κλῠστῆρῐ	τω κλυστηρι	425	n-s----d-	κλυστήρ	κλυστηρ	a clyster-pipe, syringe
426	τοῖν κλῠστήροιν	τοιν κλυστηροιν	426	n-d----d-	κλυστήρ	κλυστηρ	a clyster-pipe, syringe
427	τοῖς κλῠστῆρσῐ	τοις κλυστηρσι	427	n-p----d-	κλυστήρ	κλυστηρ	a clyster-pipe, syringe
428	τὸν κλῠστῆρᾰ	τον κλυστηρα	428	n-s----a-	κλυστήρ	κλυστηρ	a clyster-pipe, syringe
429	τὼ κλῠστῆρε	τω κλυστηρε	429	n-d----a-	κλυστήρ	κλυστηρ	a clyster-pipe, syringe
430	τοὺς κλῠστῆρᾰς	τους κλυστηρας	430	n-p----a-	κλυστήρ	κλυστηρ	a clyster-pipe, syringe
431	κλῠστήρ	κλυστηρ	431	n-s----v-	κλυστήρ	κλυστηρ	a clyster-pipe, syringe
432	κλῠστῆρε	κλυστηρε	432	n-d----v-	κλυστήρ	κλυστηρ	a clyster-pipe, syringe
433	κλῠστῆρες	κλυστηρες	433	n-p----v-	κλυστήρ	κλυστηρ	a clyster-pipe, syringe
434	ἡ κᾰ́ννᾱ	η καννα	434	n-s----n-	κάννα	καννα	a reed
435	τὼ κᾰ́ννᾱ	τω καννα	435	n-d----n-	κάννα	καννα	a reed
436	αἱ κᾰ́νναι	αι κανναι	436	n-p----n-	κάννα	καννα	a reed
437	τῆς κᾰ́ννης	της καννης	437	n-s----g-	κάννα	καννα	a reed
438	τοῖν κᾰ́νναιν	τοιν κανναιν	438	n-d----g-	κάννα	καννα	a reed
439	τῶν κᾰννῶν	των καννων	439	n-p----g-	κάννα	καννα	a reed
440	τῇ κᾰ́ννῃ	τη καννη	440	n-s----d-	κάννα	καννα	a reed
441	τοῖν κᾰ́νναιν	τοιν κανναιν	441	n-d----d-	κάννα	καννα	a reed
442	ταῖς κᾰ́νναις	ταις κανναις	442	n-p----d-	κάννα	καννα	a reed
443	τὴν κᾰ́ννᾱν	την κανναν	443	n-s----a-	κάννα	καννα	a reed
444	τὼ κᾰ́ννᾱ	τω καννα	444	n-d----a-	κάννα	καννα	a reed
445	τᾱ̀ς κᾰ́ννᾱς	τας καννας	445	n-p----a-	κάννα	καννα	a reed
446	κᾰ́ννᾱ	καννα	446	n-s----v-	κάννα	καννα	a reed
447	κᾰ́ννᾱ	καννα	447	n-d----v-	κάννα	καννα	a reed
448	κᾰ́νναι	κανναι	448	n-p----v-	κάννα	καννα	a reed
449	ὁ κῐ́ναιδος	ο κιναιδος	449	n-s----n-	κίναιδος	κιναιδος	
450	τὼ κῐναίδω	τω κιναιδω	450	n-d----n-	κίναιδος	κιναιδος	
451	οἱ κῐ́ναιδοι	οι κιναιδοι	451	n-p----n-	κίναιδος	κιναιδος	
452	τοῦ κῐναίδου	του κιναιδου	452	n-s----g-	κίναιδος	κιναιδος	
453	τοῖν κῐναίδοιν	τοιν κιναιδοιν	453	n-d----g-	κίναιδος	κιναιδος	
454	τῶν κῐναίδων	των κιναιδων	454	n-p----g-	κίναιδος	κιναιδος	
455	τῷ κῐναίδῳ	τω κιναιδω	455	n-s----d-	κίναιδος	κιναιδος	
456	τοῖν κῐναίδοιν	τοιν κιναιδοιν	456	n-d----d-	κίναιδος	κιναιδος	
457	τοῖς κῐναίδοις	τοις κιναιδοις	457	n-p----d-	κίναιδος	κιναιδος	
458	τὸν κῐ́ναιδον	τον κιναιδον	458	n-s----a-	κίναιδος	κιναιδος	
459	τὼ κῐναίδω	τω κιναιδω	459	n-d----a-	κίναιδος	κιναιδος	
460	τοὺς κῐναίδους	τους κιναιδους	460	n-p----a-	κίναιδος	κιναιδος	
461	κῐ́ναιδε	κιναιδε	461	n-s----v-	κίναιδος	κιναιδος	
462	κῐναίδω	κιναιδω	462	n-d----v-	κίναιδος	κιναιδος	
463	κῐ́ναιδοι	κιναιδοι	463	n-p----v-	κίναιδος	κιναιδος	
464	κίναιδος	κιναιδος	464	n-s----n-	κίναιδος	κιναιδος	
465	κίναιδοι	κιναιδοι	465	n-p----n-	κίναιδος	κιναιδος	
466	κίναιδου	κιναιδου	466	n-s----g-	κίναιδος	κιναιδος	
467	κίναιδων	κιναιδων	467	n-p----g-	κίναιδος	κιναιδος	
468	κίναιδο	κιναιδο	468	n-s----a-	κίναιδος	κιναιδος	
469	κίναιδους	κιναιδους	469	n-p----a-	κίναιδος	κιναιδος	
470	κίναιδε	κιναιδε	470	n-s----v-	κίναιδος	κιναιδος	
471	κίναιδοι	κιναιδοι	471	n-p----v-	κίναιδος	κιναιδος	
472	γλῠκέος	γλυκεος	472	a-s---mgp	γλυκύς	γλυκυς	sweet
473	γλῠκείᾱς	γλυκειας	473	a-s---fgp	γλυκύς	γλυκυς	sweet
474	γλῠκέος	γλυκεος	474	a-s---ngp	γλυκύς	γλυκυς	sweet
475	γλῠκέοιν	γλυκεοιν	475	a-d---mgp	γλυκύς	γλυκυς	sweet
476	γλῠκείαιν	γλυκειαιν	476	a-d---fgp	γλυκύς	γλυκυς	sweet
477	γλῠκέοιν	γλυκεοιν	477	a-d---ngp	γλυκύς	γλυκυς	sweet
478	γλῠκέων	γλυκεων	478	a-p---mgp	γλυκύς	γλυκυς	sweet
479	γλῠκειῶν	γλυκειων	479	a-p---fgp	γλυκύς	γλυκυς	sweet
480	γλῠκέων	γλυκεων	480	a-p---ngp	γλυκύς	γλυκυς	sweet
481	γλῠκεῖ	γλυκει	481	a-s---mdp	γλυκύς	γλυκυς	sweet
482	γλῠκείᾳ	γλυκεια	482	a-s---fdp	γλυκύς	γλυκυς	sweet
483	γλῠκεῖ	γλυκει	483	a-s---ndp	γλυκύς	γλυκυς	sweet
484	γλῠκέοιν	γλυκεοιν	484	a-d---mdp	γλυκύς	γλυκυς	sweet
485	γλῠκείαιν	γλυκειαιν	485	a-d---fdp	γλυκύς	γλυκυς	sweet
486	γλῠκέοιν	γλυκεοιν	486	a-d---ndp	γλυκύς	γλυκυς	sweet
487	γλῠκέσῐ	γλυκεσι	487	a-p---mdp	γλυκύς	γλυκυς	sweet
488	γλῠκείαις	γλυκειαις	488	a-p---fdp	γλυκύς	γλυκυς	sweet
489	γλῠκέσῐ	γλυκεσι	489	a-p---ndp	γλυκύς	γλυκυς	sweet
490	γλῠκῠ́ν	γλυκυν	490	a-s---map	γλυκύς	γλυκυς	sweet
491	γλῠκεῖᾰν	γλυκειαν	491	a-s---fap	γλυκύς	γλυκυς	sweet
492	γλῠκῠ́	γλυκυ	492	a-s---nap	γλυκύς	γλυκυς	sweet
493	γλῠκέε	γλυκεε	493	a-d---map	γλυκύς	γλυκυς	sweet
494	γλῠκείᾱ	γλυκεια	494	a-d---fap	γλυκύς	γλυκυς	sweet
495	γλῠκέε	γλυκεε	495	a-d---nap	γλυκύς	γλυκυς	sweet
496	γλῠκεῖς	γλυκεις	496	a-p---map	γλυκύς	γλυκυς	sweet
497	γλῠκείᾱς	γλυκειας	497	a-p---fap	γλυκύς	γλυκυς	sweet
498	γλῠκέᾰ	γλυκεα	498	a-p---nap	γλυκύς	γλυκυς	sweet
499	γλῠκῠ́	γλυκυ	499	a-s---mvp	γλυκύς	γλυκυς	sweet
500	γλῠκεῖᾰ	γλυκεια	500	a-s---fvp	γλυκύς	γλυκυς	sweet
501	γλῠκῠ́	γλυκυ	501	a-s---nvp	γλυκύς	γλυκυς	sweet
502	γλῠκέε	γλυκεε	502	a-d---mvp	γλυκύς	γλυκυς	sweet
503	γλῠκείᾱ	γλυκεια	503	a-d---fvp	γλυκύς	γλυκυς	sweet
504	γλῠκέε	γλυκεε	504	a-d---nvp	γλυκύς	γλυκυς	sweet
505	γλῠκεῖς	γλυκεις	505	a-p---mvp	γλυκύς	γλυκυς	sweet
506	γλῠκεῖαι	γλυκειαι	506	a-p---fvp	γλυκύς	γλυκυς	sweet
507	γλῠκέᾰ	γλυκεα	507	a-p---nvp	γλυκύς	γλυκυς	sweet
508	γλῠκέος	γλυκεος	508	a-s---mgp	γλυκύς	γλυκυς	sweet
509	γλῠκείης	γλυκειης	509	a-s---fgp	γλυκύς	γλυκυς	sweet
510	γλῠκέος	γλυκεος	510	a-s---ngp	γλυκύς	γλυκυς	sweet
511	γλῠκέοιῐν	γλυκεοιιν	511	a-d---mgp	γλυκύς	γλυκυς	sweet
512	γλῠκείαιν	γλυκειαιν	512	a-d---fgp	γλυκύς	γλυκυς	sweet
513	γλῠκέοιῐν	γλυκεοιιν	513	a-d---ngp	γλυκύς	γλυκυς	sweet
514	γλῠκέων	γλυκεων	514	a-p---mgp	γλυκύς	γλυκυς	sweet
515	γλῠκειᾱ́ων	γλυκειαων	515	a-p---fgp	γλυκύς	γλυκυς	sweet
516	γλῠκέων	γλυκεων	516	a-p---ngp	γλυκύς	γλυκυς	sweet
517	γλῠκεῖ	γλυκει	517	a-s---mdp	γλυκύς	γλυκυς	sweet
518	γλῠκείῃ	γλυκειη	518	a-s---fdp	γλυκύς	γλυκυς	sweet
519	γλῠκεῖ	γλυκει	519	a-s---ndp	γλυκύς	γλυκυς	sweet
520	γλῠκέοιῐν	γλυκεοιιν	520	a-d---mdp	γλυκύς	γλυκυς	sweet
521	γλῠκείαιν	γλυκειαιν	521	a-d---fdp	γλυκύς	γλυκυς	sweet
522	γλῠκέοιῐν	γλυκεοιιν	522	a-d---ndp	γλυκύς	γλυκυς	sweet
523	γλῠκέεσσῐ	γλυκεεσσι	523	a-p---mdp	γλυκύς	γλυκυς	sweet
524	γλῠκείῃσῐ	γλυκειησι	524	a-p---fdp	γλυκύς	γλυκυς	sweet
525	γλῠκέεσσῐ	γλυκεεσσι	525	a-p---ndp	γλυκύς	γλυκυς	sweet
526	γλῠκῠ́ν	γλυκυν	526	a-s---map	γλυκύς	γλυκυς	sweet
527	γλῠκεῖᾰν	γλυκειαν	527	a-s---fap	γλυκύς	γλυκυς	sweet
528	γλῠκῠ́	γλυκυ	528	a-s---nap	γλυκύς	γλυκυς	sweet
529	γλῠκέε	γλυκεε	529	a-d---map	γλυκύς	γλυκυς	sweet
530	γλῠκείᾱ	γλυκεια	530	a-d---fap	γλυκύς	γλυκυς	sweet
531	γλῠκέε	γλυκεε	531	a-d---nap	γλυκύς	γλυκυς	sweet
532	γλῠκέᾰς	γλυκεας	532	a-p---map	γλυκύς	γλυκυς	sweet
533	γλῠκείᾱς	γλυκειας	533	a-p---fap	γλυκύς	γλυκυς	sweet
534	γλῠκέᾰ	γλυκεα	534	a-p---nap	γλυκύς	γλυκυς	sweet
535	γλῠκῠ́	γλυκυ	535	a-s---mvp	γλυκύς	γλυκυς	sweet
536	γλῠκεῖᾰ	γλυκεια	536	a-s---fvp	γλυκύς	γλυκυς	sweet
537	γλῠκῠ́	γλυκυ	537	a-s---nvp	γλυκύς	γλυκυς	sweet
538	γλῠκέε	γλυκεε	538	a-d---mvp	γλυκύς	γλυκυς	sweet
539	γλῠκείᾱ	γλυκεια	539	a-d---fvp	γλυκύς	γλυκυς	sweet
540	γλῠκέε	γλυκεε	540	a-d---nvp	γλυκύς	γλυκυς	sweet
541	γλῠκέες	γλυκεες	541	a-p---mvp	γλυκύς	γλυκυς	sweet
542	γλῠκεῖαι	γλυκειαι	542	a-p---fvp	γλυκύς	γλυκυς	sweet
543	γλῠκέᾰ	γλυκεα	543	a-p---nvp	γλυκύς	γλυκυς	sweet
544	γλυκύς	γλυκυς	544	a-s---mnp	γλυκύς	γλυκυς	sweet
545	γλυκεία	γλυκεια	545	a-s---fnp	γλυκύς	γλυκυς	sweet
546	γλυκύ	γλυκυ	546	a-s---nnp	γλυκύς	γλυκυς	sweet
547	γλυκείες	γλυκειες	547	a-p---mnp	γλυκύς	γλυκυς	sweet
548	γλυκέα	γλυκεα	548	a-p---fnp	γλυκύς	γλυκυς	sweet
549	γλυκέος γλυκύ	γλυκεος γλυκυ	549	a-s---mgp	γλυκύς	γλυκυς	sweet
550	γλυκείας	γλυκειας	550	a-s---fgp	γλυκύς	γλυκυς	sweet
551	γλυκύ γλυκέος	γλυκυ γλυκεος	551	a-s---ngp	γλυκύς	γλυκυς	sweet
552	γλυκειών	γλυκειων	552	a-p---mgp	γλυκύς	γλυκυς	sweet
553	γλυκέων	γλυκεων	553	a-p---fgp	γλυκύς	γλυκυς	sweet
554	γλυκύ	γλυκυ	554	a-s---map	γλυκύς	γλυκυς	sweet
555	γλυκεία	γλυκεια	555	a-s---fap	γλυκύς	γλυκυς	sweet
556	γλυκύ	γλυκυ	556	a-s---nap	γλυκύς	γλυκυς	sweet
557	γλυκείες	γλυκειες	557	a-p---map	γλυκύς	γλυκυς	sweet
558	γλυκέα	γλυκεα	558	a-p---fap	γλυκύς	γλυκυς	sweet
559	γλυκύ	γλυκυ	559	a-s---mvp	γλυκύς	γλυκυς	sweet
560	γλυκεία	γλυκεια	560	a-s---fvp	γλυκύς	γλυκυς	sweet
561	γλυκύ	γλυκυ	561	a-s---nvp	γλυκύς	γλυκυς	sweet
562	γλυκείες	γλυκειες	562	a-p---mvp	γλυκύς	γλυκυς	sweet
563	γλυκέα	γλυκεα	563	a-p---fvp	γλυκύς	γλυκυς	sweet
564	γλυκύτερος	γλυκυτερος	564	a-s---mnp	γλυκύς	γλυκυς	sweet
565	γλυκύτερη	γλυκυτερη	565	a-s---fnp	γλυκύς	γλυκυς	sweet
566	γλυκύτερο	γλυκυτερο	566	a-s---nnp	γλυκύς	γλυκυς	sweet
567	γλυκύτεροι	γλυκυτεροι	567	a-p---mnp	γλυκύς	γλυκυς	sweet
568	γλυκύτερες	γλυκυτερες	568	a-p---fnp	γλυκύς	γλυκυς	sweet
569	γλυκύτερα	γλυκυτερα	569	a-p---nnp	γλυκύς	γλυκυς	sweet
570	γλυκύτερου	γλυκυτερου	570	a-s---mgp	γλυκύς	γλυκυς	sweet
571	γλυκύτερης	γλυκυτερης	571	a-s---fgp	γλυκύς	γλυκυς	sweet
572	γλυκύτερου	γλυκυτερου	572	a-s---ngp	γλυκύς	γλυκυς	sweet
573	γλυκύτερων	γλυκυτερων	573	a-p---mgp	γλυκύς	γλυκυς	sweet
574	γλυκύτερων	γλυκυτερων	574	a-p---fgp	γλυκύς	γλυκυς	sweet
575	γλυκύτερων	γλυκυτερων	575	a-p---ngp	γλυκύς	γλυκυς	sweet
576	γλυκύτερο	γλυκυτερο	576	a-s---map	γλυκύς	γλυκυς	sweet
577	γλυκύτερη	γλυκυτερη	577	a-s---fap	γλυκύς	γλυκυς	sweet
578	γλυκύτερο	γλυκυτερο	578	a-s---nap	γλυκύς	γλυκυς	sweet
579	γλυκύτερους	γλυκυτερους	579	a-p---map	γλυκύς	γλυκυς	sweet
580	γλυκύτερες	γλυκυτερες	580	a-p---fap	γλυκύς	γλυκυς	sweet
581	γλυκύτερα	γλυκυτερα	581	a-p---nap	γλυκύς	γλυκυς	sweet
582	γλυκύτερε	γλυκυτερε	582	a-s---mvp	γλυκύς	γλυκυς	sweet
583	γλυκύτερη	γλυκυτερη	583	a-s---fvp	γλυκύς	γλυκυς	sweet
584	γλυκύτερο	γλυκυτερο	584	a-s---nvp	γλυκύς	γλυκυς	sweet
585	γλυκύτεροι	γλυκυτεροι	585	a-p---mvp	γλυκύς	γλυκυς	sweet
586	γλυκύτερες	γλυκυτερες	586	a-p---fvp	γλυκύς	γλυκυς	sweet
587	γλυκύτερα	γλυκυτερα	587	a-p---nvp	γλυκύς	γλυκυς	sweet
588	γλυκύτατος	γλυκυτατος	588	a-s---mnp	γλυκύς	γλυκυς	sweet
589	γλυκύτατη	γλυκυτατη	589	a-s---fnp	γλυκύς	γλυκυς	sweet
590	γλυκύτατο	γλυκυτατο	590	a-s---nnp	γλυκύς	γλυκυς	sweet
591	γλυκύτατοι	γλυκυτατοι	591	a-p---fnp	γλυκύς	γλυκυς	sweet
592	γλυκύτατες	γλυκυτατες	592	a-p---nnp	γλυκύς	γλυκυς	sweet
593	γλυκύτατου	γλυκυτατου	593	a-s---mgp	γλυκύς	γλυκυς	sweet
594	γλυκύτατης	γλυκυτατης	594	a-s---fgp	γλυκύς	γλυκυς	sweet
595	γλυκύτατου	γλυκυτατου	595	a-s---ngp	γλυκύς	γλυκυς	sweet
596	γλυκύτατων	γλυκυτατων	596	a-p---fgp	γλυκύς	γλυκυς	sweet
597	γλυκύτατων	γλυκυτατων	597	a-p---ngp	γλυκύς	γλυκυς	sweet
598	γλυκύτατο	γλυκυτατο	598	a-s---map	γλυκύς	γλυκυς	sweet
599	γλυκύτατη	γλυκυτατη	599	a-s---fap	γλυκύς	γλυκυς	sweet
600	γλυκύτατο	γλυκυτατο	600	a-s---nap	γλυκύς	γλυκυς	sweet
601	γλυκύτατους	γλυκυτατους	601	a-p---fap	γλυκύς	γλυκυς	sweet
