	Cases	Singular	Dual	Plural
0	Nominative	επικηρῡκεια	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
1	Genitive	επικηρῡκεια	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
2	Dative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	επικηρυκειαν	ERROR: Nothing found with those parameters	επικηρυκειας
4	Vocative	επικηρῡκεια	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
