	Cases	Singular	Dual	Plural
0	Nominative	γαστρις	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
1	Genitive	γαστρι	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
2	Dative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	γαστριδας
4	Vocative	γαστρι	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
