Case / #,Singular,Dual,Plural
Nominative,ὁ  Ἴων,τὼ  Ἴωνε,οἱ  Ἴωνες
Genitive,τοῦ  Ἴωνος,τοῖν  Ἰώνοιν,τῶν  Ἰώνων
Dative,τῷ  Ἴωνῐ,τοῖν  Ἰώνοιν,τοῖς  Ἴωσῐ  /  Ἴωσῐν
Accusative,τὸν  Ἴωνᾰ,τὼ  Ἴωνε,τοὺς  Ἴωνᾰς
Vocative,Ἴων,Ἴωνε,Ἴωνες
