	Cases	Singular	Dual	Plural
0	Nominative	δειπνητηριον	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
1	Genitive	δειπνητηριον	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
2	Dative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	δειπνητηριον	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
4	Vocative	δειπνητηριον	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
