	Cases	Singular	Dual	Plural
0	Nominative	ακανθοβατης	ERROR: Nothing found with those parameters	ακανθοβαται
1	Genitive	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ακανθοβαται
2	Dative	ακανθοβαται	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
4	Vocative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ακανθοβαται
