	Cases	Singular	Dual	Plural
0	Nominative	αττῐκισμος	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
1	Genitive	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
2	Dative	αττικισμω	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	αττικισμον	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
4	Vocative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
