	Cases	Singular	Dual	Plural
0	Nominative	βῐα	ERROR: Nothing found with those parameters	βια
1	Genitive	βῐα	ERROR: Nothing found with those parameters	βια
2	Dative	βιη	ERROR: Nothing found with those parameters	βιηφι
3	Accusative	βιην	ERROR: Nothing found with those parameters	βιας
4	Vocative	βῐα	ERROR: Nothing found with those parameters	βια
