Case / #,Singular,Dual,Plural
Nominative,ὁ  Αἰγύπτῐος,τὼ  Αἰγυπτῐ́ω,οἱ  Αἰγύπτῐοι
Genitive,τοῦ  Αἰγυπτῐ́ου,τοῖν  Αἰγυπτῐ́οιν,τῶν  Αἰγυπτῐ́ων
Dative,τῷ  Αἰγυπτῐ́ῳ,τοῖν  Αἰγυπτῐ́οιν,τοῖς  Αἰγυπτῐ́οις
Accusative,τὸν  Αἰγύπτῐον,τὼ  Αἰγυπτῐ́ω,τοὺς  Αἰγυπτῐ́ους
Vocative,Αἰγύπτῐε,Αἰγυπτῐ́ω,Αἰγύπτῐοι
