	Cases	Singular	Dual	Plural
0	Nominative	αλλοπροσαλλος	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
1	Genitive	αλλοπροσαλλε	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
2	Dative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	αλλοπροσαλλον	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
4	Vocative	αλλοπροσαλλε	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
