	Cases	Singular	Dual	Plural
0	Nominative	ηρ	ERROR: Nothing found with those parameters	ηρ
1	Genitive	ηρ	ERROR: Nothing found with those parameters	ηρ
2	Dative	ηρ	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	ηρ	ERROR: Nothing found with those parameters	ηρ
4	Vocative	ηρ	ERROR: Nothing found with those parameters	ηρ
