language,source,lemma,atlas_id,url
grc,Atlas,δράω,345198,https://atlas.perseus.tufts.edu/lemma/345198/
grc,Atlas,δρομαῖος,416789,https://atlas.perseus.tufts.edu/lemma/416789/
grc,Atlas,δρομάς,359026,https://atlas.perseus.tufts.edu/lemma/359026/
grc,Atlas,δρός,369813,https://atlas.perseus.tufts.edu/lemma/369813/
grc,Atlas,δρυοπίς,404590,https://atlas.perseus.tufts.edu/lemma/404590/
grc,Atlas,δρύοσ,363022,https://atlas.perseus.tufts.edu/lemma/363022/
grc,Atlas,δς,356253,https://atlas.perseus.tufts.edu/lemma/356253/
grc,Atlas,δυ,339883,https://atlas.perseus.tufts.edu/lemma/339883/
grc,Atlas,δυϊκός,369152,https://atlas.perseus.tufts.edu/lemma/369152/
grc,Atlas,δύναμις,382623,https://atlas.perseus.tufts.edu/lemma/382623/
grc,Atlas,δυνεύω,346722,https://atlas.perseus.tufts.edu/lemma/346722/
grc,Atlas,δύσαλτος,354289,https://atlas.perseus.tufts.edu/lemma/354289/
grc,Atlas,δυσανάγκη,364697,https://atlas.perseus.tufts.edu/lemma/364697/
grc,Atlas,δυσανασχετέω,381351,https://atlas.perseus.tufts.edu/lemma/381351/
grc,Atlas,δύσανδρος,351092,https://atlas.perseus.tufts.edu/lemma/351092/
grc,Atlas,δυσείκαστος,423763,https://atlas.perseus.tufts.edu/lemma/423763/
grc,Atlas,δυσέκβατος,399486,https://atlas.perseus.tufts.edu/lemma/399486/
grc,Atlas,δυσέκπλυτος,414798,https://atlas.perseus.tufts.edu/lemma/414798/
grc,Atlas,δυσελπιστέω,384516,https://atlas.perseus.tufts.edu/lemma/384516/
grc,Atlas,δυσεπίτευκτος,365533,https://atlas.perseus.tufts.edu/lemma/365533/
grc,Atlas,δυσεργός,394546,https://atlas.perseus.tufts.edu/lemma/394546/
grc,Atlas,δυσηκοία,390326,https://atlas.perseus.tufts.edu/lemma/390326/
grc,Atlas,δυσθέατος,375212,https://atlas.perseus.tufts.edu/lemma/375212/
grc,Atlas,δυσθεραπεύτως,390965,https://atlas.perseus.tufts.edu/lemma/390965/
grc,Atlas,δύσθυμος,340894,https://atlas.perseus.tufts.edu/lemma/340894/
grc,Atlas,δυσκαμπής,435876,https://atlas.perseus.tufts.edu/lemma/435876/
grc,Atlas,δύσκρατος,344013,https://atlas.perseus.tufts.edu/lemma/344013/
grc,Atlas,δυσλόγιστος,423869,https://atlas.perseus.tufts.edu/lemma/423869/
grc,Atlas,δύςλυτος,443476,https://atlas.perseus.tufts.edu/lemma/443476/
