	Cases	Singular	Dual	Plural
0	Nominative	απαθεια	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
1	Genitive	απαθεια	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
2	Dative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	απαθειαν	ERROR: Nothing found with those parameters	απαθειας
4	Vocative	απαθεια	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
