	Cases	Singular	Dual	Plural
0	Nominative	δεσποτις	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
1	Genitive	δεσποτ	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
2	Dative	δεσποτιδι	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	δεσποτιν	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
4	Vocative	δεσποτ	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
