	Cases	Singular	Dual	Plural
0	Nominative	θησειον	ERROR: Nothing found with those parameters	θησεια
1	Genitive	θησειον	ERROR: Nothing found with those parameters	θησεια
2	Dative	θησειω	ERROR: Nothing found with those parameters	θησειοις
3	Accusative	θησειον	ERROR: Nothing found with those parameters	θησεια
4	Vocative	θησειον	ERROR: Nothing found with those parameters	θησεια
