,Workgroup,Work,Language,Words,URN,URL
669,Diophantus Alexandrinus,Fragmentum [Sp.] (e cod. Paris. 453),"grc,lat",2653,urn:cts:greekLit:tlg2039.tlg004.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2039.tlg004.1st1K-grc1:1-5/
670,Diophantus Alexandrinus,Fragmentum [Sp.] (e cod. Paris. gr. 2448),"grc,lat",3694,urn:cts:greekLit:tlg2039.tlg005.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2039.tlg005.1st1K-grc1:1-5/
671,Marcellus,Fragmenta,"grc,lat,deu",13530,urn:cts:greekLit:tlg2041.tlg001.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2041.tlg001.opp-grc1:1-5/
672,Origenes,Contra Celsum,"grc,lat",164884,urn:cts:greekLit:tlg2042.tlg001.perseus-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg001.perseus-grc1:praef.1/
673,Origenes,Commentarii in Evangelium Joannis,"grc,lat,deu",184213,urn:cts:greekLit:tlg2042.tlg005.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg005.opp-grc1:1.1-1.5/
674,Origenes,Fragmenta In Evangelium Joannis (In Catenis),"grc,lat,deu",30535,urn:cts:greekLit:tlg2042.tlg006.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg006.opp-grc1:1-5/
675,Origenes,Exhortatio ad martyrium,"grc,lat,deu",12324,urn:cts:greekLit:tlg2042.tlg007.perseus-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg007.perseus-grc1:1-5/
676,Origenes,De oratione,"grc,lat,deu",27951,urn:cts:greekLit:tlg2042.tlg008.perseus-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg008.perseus-grc1:1.1/
677,Origenes,In Jeremiam (Homiliae 1-11),"grc,lat,deu",33640,urn:cts:greekLit:tlg2042.tlg009.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg009.opp-grc1:1.1-1.5/
678,Origenes,Fragmenta In Jeremiam (in Catenis),"grc,deu,lat",11447,urn:cts:greekLit:tlg2042.tlg010.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg010.opp-grc1:1-5/
679,Origenes,Fragmenta In Lamentationes (In Catenis de Prophetis),"grc,deu,lat",13765,urn:cts:greekLit:tlg2042.tlg011.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg011.opp-grc1:1-5/
680,Origenes,Fragmentum in Lamentationes (In Catenis de Octateucho),"grc,deu,lat",248,urn:cts:greekLit:tlg2042.tlg012.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg012.opp-grc1:1/
681,Origenes,De Engastrimytho,"grc,deu,lat",4791,urn:cts:greekLit:tlg2042.tlg013.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg013.opp-grc1:1-5/
682,Origenes,Fragmenta in Librum Primum Regnorum (In Catenis de Samuelis et Regnorum),"grc,deu,lat",2652,urn:cts:greekLit:tlg2042.tlg014.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg014.opp-grc1:1-5/
683,Origenes,Fragmentum In Librum Primum Regnorum (In Catenis de Cantico Canticorum),"grc,deu,lat",112,urn:cts:greekLit:tlg2042.tlg015.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg015.opp-grc1:1/
684,Origenes,Homiliae In Lucam,"grc,lat,deu",90710,urn:cts:greekLit:tlg2042.tlg016.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg016.opp-grc1:praef-4/
685,Origenes,Fragmenta in Lucam (in catenis),"grc,deu,lat",22746,urn:cts:greekLit:tlg2042.tlg017.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg017.opp-grc1:1-5/
686,Origen,The Philocalia of Origen,grc,74670,urn:cts:greekLit:tlg2042.tlg019.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg019.1st1K-grc1:pr.pr.pr-pr.pr.toc/
687,Origenes,In Jeremiam (Homiliae 12-20),"grc,deu,lat",43778,urn:cts:greekLit:tlg2042.tlg021.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg021.opp-grc1:12.1-12.5/
688,Origenes,Commentariorum Series In Evangelium Matthaei,"grc,lat,deu",105586,urn:cts:greekLit:tlg2042.tlg028.1st1K-lat1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg028.1st1K-lat1:1-5/
689,Origenes,Commentarium In Evangelium Matthaei (Lib. 10-11),"grc,lat,deu",27243,urn:cts:greekLit:tlg2042.tlg029.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg029.opp-grc1:10.1/
690,Origen,Commentarium In Evangelium Matthaei (Lib. 12-17),"grc,lat,deu",129488,urn:cts:greekLit:tlg2042.tlg030.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg030.opp-grc1:12.1/
691,Origen,Commentarium In Evangelium Matthaei (Lib. 12-17),"lat,deu",100603,urn:cts:greekLit:tlg2042.tlg030.opp-lat1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg030.opp-lat1:12.9/
692,Origenes,Epistula ad Africanum,"grc,lat",7293,urn:cts:greekLit:tlg2042.tlg045.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg045.1st1K-grc1:1.1-1.5/
693,Origenes,Selecta in Genesim,"grc,lat",11179,urn:cts:greekLit:tlg2042.tlg048.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg048.1st1K-grc1:praef.1/
694,Origenes,Selecta in Exodum,"grc,lat",3298,urn:cts:greekLit:tlg2042.tlg050.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg050.1st1K-grc1:1-5/
695,Origenes,Selecta in Leviticum,"grc,lat",1517,urn:cts:greekLit:tlg2042.tlg051.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg051.1st1K-grc1:1-5/
696,Origenes,Selecta in Numeros,"grc,lat",1765,urn:cts:greekLit:tlg2042.tlg052.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg052.1st1K-grc1:1-5/
697,Origenes,Selecta in Deuteronomium,"grc,lat",2485,urn:cts:greekLit:tlg2042.tlg053.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg053.1st1K-grc1:1-5/
698,Origenes,Selecta in Jesum Nave,"grc,lat",962,urn:cts:greekLit:tlg2042.tlg054.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg054.1st1K-grc1:1-5/
699,Origenes,Selecta in Judices,"grc,lat",279,urn:cts:greekLit:tlg2042.tlg055.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg055.1st1K-grc1:1-5/
700,Origenes,Selecta in Job,"grc,lat",3068,urn:cts:greekLit:tlg2042.tlg057.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg057.1st1K-grc1:1-22/
701,Origen,Selecta in Psalmos [Dub.],"fre,grc,lat",105109,urn:cts:greekLit:tlg2042.tlg058.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg058.1st1K-grc1:pr1.1-pr1.5/
702,Origen,Fragmenta in Ezechielem,"fre,grc,lat",344,urn:cts:greekLit:tlg2042.tlg061.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg061.1st1K-grc1:30.25/
703,Origen,Adnotationes in Genesim,"fre,grc,lat",660,urn:cts:greekLit:tlg2042.tlg066.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg066.1st1K-grc1:7.4/
704,Origen,Adnotationes in Exodum,"fre,grc,lat",254,urn:cts:greekLit:tlg2042.tlg067.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg067.1st1K-grc1:15.25/
705,Origen,Adnotationes in Leviticum (fragmenta e catenis),"fre,grc,lat",631,urn:cts:greekLit:tlg2042.tlg068.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg068.1st1K-grc1:4.27/
706,Origen,Adnotationes in Numeros,"fre,grc,lat",394,urn:cts:greekLit:tlg2042.tlg069.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg069.1st1K-grc1:11.7/
707,Origen,Adnotationes in Deuteronomium (fragmenta e catenis),"fre,grc,lat",1908,urn:cts:greekLit:tlg2042.tlg070.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg070.1st1K-grc1:1.7/
708,Origen,Adnotationes in Jesu filium Nave (fragmenta e catenis),"fre,grc,lat",198,urn:cts:greekLit:tlg2042.tlg071.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg071.1st1K-grc1:3.14/
709,Origen,Adnotationes in Judices,"fre,grc,lat",160,urn:cts:greekLit:tlg2042.tlg072.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg072.1st1K-grc1:15.19/
710,Origen,"Homiliae in Job (fragmenta in catenis, typus II)","fre,grc,lat",8928,urn:cts:greekLit:tlg2042.tlg073.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg073.1st1K-grc1:1.10/
711,Origen,Excerpta in Psalmos [Dub.],"fre,grc,lat",8846,urn:cts:greekLit:tlg2042.tlg074.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg074.1st1K-grc1:9.8/
712,Origen,Expositio in Proverbia (fragmenta e catenis),"fre,grc,lat",18055,urn:cts:greekLit:tlg2042.tlg075.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg075.1st1K-grc1:1.1-1.5/
713,Origen,Scholia in Canticum canticorum,"fre,grc,lat",7090,urn:cts:greekLit:tlg2042.tlg076.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg076.1st1K-grc1:pr.1/
714,Origen,Scholia in Matthaeum,"fre,grc,lat",4434,urn:cts:greekLit:tlg2042.tlg077.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg077.1st1K-grc1:1.18/
715,Origen,Scholia in Lucam (fragmenta e cod. Venet. 28),"fre,grc,lat",11096,urn:cts:greekLit:tlg2042.tlg078.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg078.1st1K-grc1:1.1.1-1.1.6/
716,Origenes,Fragmenta In Jeremiam (E Philocalia),"grc,deu",944,urn:cts:greekLit:tlg2042.tlg084.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2042.tlg084.opp-grc1:1.1/
717,"Sozomenus, Salaminius Hermias",Historia Ecclesiastica,"grc,lat",107657,urn:cts:greekLit:tlg2048.tlg001.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2048.tlg001.1st1K-grc1:1.praef.1-1.praef.5/
718,Eunapius,Vitae Sophistarum,"lat,grc,deu",1468,urn:cts:greekLit:tlg2050.tlg001.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2050.tlg001.opp-grc1:1-5/
719,"Socrates, Scholasticus",Historia Ecclesiastica,"grc,lat",103796,urn:cts:greekLit:tlg2057.tlg002.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2057.tlg002.1st1K-grc1:1.1/
720,Philostorgius,Historia ecclesiastica (fragmenta ap. Photium),grc,49927,urn:cts:greekLit:tlg2058.tlg001.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2058.tlg001.1st1K-grc1:1.1-1.5/
721,Hippolytus,Refutatio Omnium Haeresium,"grc,lat,deu",112251,urn:cts:greekLit:tlg2115.tlg060.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2115.tlg060.opp-grc1:1.summary.1-1.summary.5/
722,Hippolytus,Refutatio Omnium Haeresium,"grc,lat,deu",69621,urn:cts:greekLit:tlg2115.tlg060.perseus-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2115.tlg060.perseus-grc1:1.argument/
723,Alypius,Isagoge musica,"grc,lat",5827,urn:cts:greekLit:tlg2135.tlg001.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2135.tlg001.opp-grc1:1.1-1.4/
724,Bacchius Geron,Isagoge,"grc,lat",5525,urn:cts:greekLit:tlg2136.tlg001.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2136.tlg001.opp-grc1:1-5/
725,Gaudentius,Harmonica introductio,"grc,lat",6661,urn:cts:greekLit:tlg2137.tlg001.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2137.tlg001.1st1K-grc1:pr-4/
726,Canticum Euripidis,Ex Orestis Stasimo I,"grc,lat",182,urn:cts:greekLit:tlg2138.tlg001.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2138.tlg001.opp-grc1:1/
727,Epitaphium Sicili,Sicili Epitaphium,"grc,lat",129,urn:cts:greekLit:tlg2139.tlg001.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2139.tlg001.opp-grc1:1/
728,Cassius Longinus,Ars rhetorica,"grc,lat",5452,urn:cts:greekLit:tlg2178.tlg001.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2178.tlg001.1st1K-grc1:1.1-1.5/
729,Cassius Longinus,Excerpta,"grc,lat",648,urn:cts:greekLit:tlg2178.tlg002.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2178.tlg002.1st1K-grc1:1-5/
730,Libanius,Epistulae 1-839,lat,214194,urn:cts:greekLit:tlg2200.tlg001.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2200.tlg001.opp-grc1:1.1-1.2/
731,Libanius,Oratio I,"lat,grc,deu",35927,urn:cts:greekLit:tlg2200.tlg00401.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2200.tlg00401.opp-grc1:1-6/
732,Libanius,Oratio 2,"lat,grc,deu",6298,urn:cts:greekLit:tlg2200.tlg00402.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2200.tlg00402.opp-grc1:1-7/
733,Libanius,Oratio 3,"lat,grc,deu",2865,urn:cts:greekLit:tlg2200.tlg00403.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2200.tlg00403.opp-grc1:1-7/
734,Libanius,Oratio 4,"lat,grc,deu",3699,urn:cts:greekLit:tlg2200.tlg00404.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2200.tlg00404.opp-grc1:1-5/
735,Libanius,Oratio V,"lat,grc,deu",4542,urn:cts:greekLit:tlg2200.tlg00405.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2200.tlg00405.opp-grc1:1-7/
736,Libanius,Oratio VI,"lat,grc,deu",1892,urn:cts:greekLit:tlg2200.tlg00406.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2200.tlg00406.opp-grc1:1-5/
737,Libanius,Oratio 7,"lat,grc,deu",1004,urn:cts:greekLit:tlg2200.tlg00407.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2200.tlg00407.opp-grc1:1-5/
738,Libanius,Oratio VIII,"lat,grc,deu",1660,urn:cts:greekLit:tlg2200.tlg00408.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2200.tlg00408.opp-grc1:1-6/
