,Workgroup,Work,Language,Words,URN,URL
0,Anonymous,Anametresis Pontou,"grc,lat,deu",374,urn:cts:greekLit:ggm0001.ggm001.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:ggm0001.ggm001.1st1K-grc1:1.1/
1,,Isaias,"lat,eng",36226,urn:cts:hebrewlit:heb0001.heb010.1st1K-eng1,https://scaife.perseus.org/reader/urn:cts:hebrewlit:heb0001.heb010.1st1K-eng1:1.1/
2,Pinytus,De Epistola Pinyti ad Dionysium,"grc,lat",162,urn:cts:greekLit:ogl0001.ogl001.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:ogl0001.ogl001.1st1K-grc1:1/
3,pseudo-Aristotle,De mundo,grc,6446,urn:cts:greekLit:stoa0033a.tlg028.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:stoa0033a.tlg028.1st1K-grc1:1-5/
4,pseudo-Aristotle,De spiritu,grc,3460,urn:cts:greekLit:stoa0033a.tlg043.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:stoa0033a.tlg043.1st1K-grc1:1-5/
5,Eutropius,Breviarium historiae romanae,grc,23886,urn:cts:greekLit:stoa0121.stoa001.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:stoa0121.stoa001.opp-grc1:1.1/
6,Hegemonius,Acta Archelai,"lat,grc",4535,urn:cts:greekLit:stoa0146d.stoa001.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:stoa0146d.stoa001.opp-grc1:5-10/
7,Hegemonius,Acta Archelai,lat,38162,urn:cts:greekLit:stoa0146d.stoa001.opp-lat1,https://scaife.perseus.org/reader/urn:cts:greekLit:stoa0146d.stoa001.opp-lat1:1-5/
8,Theocritus,"Syrinx,an electronic transcription.",grc,77,urn:cts:greekLit:tlg0005.tlg003.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0005.tlg003.1st1K-grc1:1-20/
9,Sophocles,"Ajax,Machine readable text","grc,lat",7971,urn:cts:greekLit:tlg0011.tlg003.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0011.tlg003.1st1K-grc1:1-30/
10,Herodian,Ab excessu divi Marci,"lat,grc",46884,urn:cts:greekLit:tlg0015.tlg001.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0015.tlg001.opp-grc1:1.1.1-1.1.5/
11,Philo Judaeus,De opificio mundi,"grc,lat",24061,urn:cts:greekLit:tlg0018.tlg001.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg001.opp-grc1:1-5/
12,Philo Judaeus,Legum allegoriarum libri i‑iii,"grc,lat",42468,urn:cts:greekLit:tlg0018.tlg002.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg002.opp-grc1:1.1/
13,Philo Judaeus,De Cherubim,"grc,lat",12224,urn:cts:greekLit:tlg0018.tlg003.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg003.opp-grc1:1-5/
14,Philo Judaeus,De sacrificiis Abelis et Caini,"grc,lat",22570,urn:cts:greekLit:tlg0018.tlg004.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg004.opp-grc1:1-5/
15,Philo Judaeus,Quod deterius potiori insidiari soleat,"grc,lat",15259,urn:cts:greekLit:tlg0018.tlg005.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg005.opp-grc1:1-5/
16,Philo Judaeus,De Posteritate Caini,"grc,lat",15274,urn:cts:greekLit:tlg0018.tlg006.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg006.opp-grc1:1-5/
17,Philo Judaeus,De gigantibus,"grc,lat",5285,urn:cts:greekLit:tlg0018.tlg007.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg007.opp-grc1:1-5/
18,Philo Judaeus,Quod deus sit immutabilis,"grc,lat",15294,urn:cts:greekLit:tlg0018.tlg008.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg008.opp-grc1:1-5/
19,Philo Judaeus,De agricultura,"grc,lat",14427,urn:cts:greekLit:tlg0018.tlg009.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg009.opp-grc1:1-5/
20,Philo Judaeus,De plantatione,"grc,lat",14378,urn:cts:greekLit:tlg0018.tlg010.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg010.opp-grc1:1-5/
21,Philo Judaeus,De ebrietate,"grc,lat",17104,urn:cts:greekLit:tlg0018.tlg011.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg011.opp-grc1:1-5/
22,Philo Judaeus,De sobrietate,"grc,lat",5462,urn:cts:greekLit:tlg0018.tlg012.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg012.opp-grc1:1-5/
23,Philo Judaeus,De confusione linguarum,"grc,lat",14933,urn:cts:greekLit:tlg0018.tlg013.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg013.opp-grc1:1-5/
24,Philo Judaeus,De migratione Abrahami,"grc,lat",17407,urn:cts:greekLit:tlg0018.tlg014.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg014.opp-grc1:1-5/
25,Philo Judaeus,Quis rerum divinarum heres sit,"grc,lat",27944,urn:cts:greekLit:tlg0018.tlg015.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg015.opp-grc1:1-5/
26,Philo Judaeus,De congressu eruditionis gratia,"grc,lat",14614,urn:cts:greekLit:tlg0018.tlg016.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg016.opp-grc1:1-5/
27,Philo Judaeus,De fuga et inventione,"grc,lat",17501,urn:cts:greekLit:tlg0018.tlg017.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg017.opp-grc1:1-5/
28,Philo Judaeus,De mutatione nominum,"grc,lat",17630,urn:cts:greekLit:tlg0018.tlg018.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg018.opp-grc1:1-5/
29,Philo Judaeus,De somniis (lib. i‑ii),"grc,lat",38533,urn:cts:greekLit:tlg0018.tlg019.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg019.opp-grc1:1.1/
30,Philo Judaeus,De Abrahamo,"grc,lat",24281,urn:cts:greekLit:tlg0018.tlg020.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg020.opp-grc1:1-5/
31,Philo Judaeus,De Josepho,"grc,lat",22273,urn:cts:greekLit:tlg0018.tlg021.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg021.opp-grc1:1-5/
32,Philo Judaeus,De vita Mosis (lib. i‑ii),"grc,lat",59449,urn:cts:greekLit:tlg0018.tlg022.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg022.opp-grc1:1.1/
33,Philo Judaeus,De decalogo,"grc,lat",15120,urn:cts:greekLit:tlg0018.tlg023.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg023.opp-grc1:1-5/
34,Philo Judaeus,De specialibus legibus (lib. i‑iv),"grc,lat",103137,urn:cts:greekLit:tlg0018.tlg024.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg024.opp-grc1:1.1/
35,Philo Judaeus,De virtutibus,"grc,lat",29681,urn:cts:greekLit:tlg0018.tlg025.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg025.opp-grc1:1-5/
36,Philo Judaeus,De praemiis et poenis et De exsecrationibus,"grc,lat",15487,urn:cts:greekLit:tlg0018.tlg026.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg026.opp-grc1:1-5/
37,Philo Judaeus,Quod omnis probus liber sit,"grc,lat",17875,urn:cts:greekLit:tlg0018.tlg027.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg027.opp-grc1:1-5/
38,Philo Judaeus,De vita contemplativa,"grc,lat",10308,urn:cts:greekLit:tlg0018.tlg028.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg028.opp-grc1:1-5/
39,Philo Judaeus,De aeternitate mundi,"grc,lat",19439,urn:cts:greekLit:tlg0018.tlg029.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg029.opp-grc1:1-5/
40,Philo Judaeus,In Flaccum,"grc,lat",14392,urn:cts:greekLit:tlg0018.tlg030.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg030.opp-grc1:1-5/
41,Philo Judaeus,Legatio Ad Gaium,"grc,lat",29003,urn:cts:greekLit:tlg0018.tlg031.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg031.opp-grc1:1-5/
42,,Mark Chapter 1,cop,0,urn:cts:greekLit:tlg0031.tlg002.1st1K-cop1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg002.1st1K-cop1:1.1/
43,,1,grc,827,urn:cts:greekLit:tlg0031.tlg002.INTF-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg002.INTF-grc1:1.1/
44,Galen,Adhortatio ad artes addiscendas,grc,5049,urn:cts:greekLit:tlg0057.tlg001.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg001.1st1K-grc1:1-5/
45,Galen,Protrepticus,"grc,lat",5092,urn:cts:greekLit:tlg0057.tlg001.1st1K-grc2,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg001.1st1K-grc2:1-5/
46,Galen,De optima doctrina,"grc,lat",1830,urn:cts:greekLit:tlg0057.tlg002.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg002.1st1K-grc1:1-5/
47,Galen,Quod optimus medicus sit quoque philosophus,"grc,lat",1388,urn:cts:greekLit:tlg0057.tlg003.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg003.1st1K-grc1:1-4/
48,Galen,De sectis ad eos qui introducuntur,"grc,eng,lat",6225,urn:cts:greekLit:tlg0057.tlg004.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg004.1st1K-grc1:1-5/
49,Galen,De constitutione artis medicae ad Patrophilum,"grc,lat,eng",11963,urn:cts:greekLit:tlg0057.tlg006.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg006.1st1K-grc1:prooemium-4/
50,Galen,Ars Medica,"grc,lat,eng",16153,urn:cts:greekLit:tlg0057.tlg007.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg007.1st1K-grc1:preface-4/
51,Galen,De elementis ex Hippocrate,"grc,eng,lat",13405,urn:cts:greekLit:tlg0057.tlg008.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg008.1st1K-grc1:1.1/
52,Galen,De temperamentis,"grc,eng,lat",27694,urn:cts:greekLit:tlg0057.tlg009.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg009.1st1K-grc1:1.1/
53,Galen,De temperamentis,"grc,eng,lat",27714,urn:cts:greekLit:tlg0057.tlg009.1st1K-grc2,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg009.1st1K-grc2:1.1/
54,Galen,De naturalibus facultatibus,"grc,eng,grc",31893,urn:cts:greekLit:tlg0057.tlg010.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg010.1st1K-grc1:1.1/
55,Galen,De anatomicis administrationibus,"grc,eng,lat",78402,urn:cts:greekLit:tlg0057.tlg011.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg011.1st1K-grc1:1.1/
56,Galen,De ossibus ad tirones,"grc,eng,lat",6930,urn:cts:greekLit:tlg0057.tlg012.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg012.1st1K-grc1:prooemium-4/
57,Galen,De venarum arteriarumque dissectione,"grc,eng,lat",7539,urn:cts:greekLit:tlg0057.tlg013.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg013.1st1K-grc1:1-5/
58,Galen,De nervorum dissectione,"grc,eng,lat",3606,urn:cts:greekLit:tlg0057.tlg014.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg014.1st1K-grc1:1-5/
59,Galen,De instrumento odoratus,"grc,eng,lat",4198,urn:cts:greekLit:tlg0057.tlg015.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg015.1st1K-grc1:1-5/
60,Galen,De uteri dissectione,"grc,eng,lat",3261,urn:cts:greekLit:tlg0057.tlg016.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg016.1st1K-grc1:1-5/
61,Galen,De usu partium corporis humani I-XI,"grc,eng,lat",194301,urn:cts:greekLit:tlg0057.tlg017.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg017.1st1K-grc1:1.1/
62,Galen,De motu musculorum,"grc,eng,lat",14720,urn:cts:greekLit:tlg0057.tlg018.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg018.1st1K-grc1:1.1/
63,Galen,De victu attenuante,"grc,eng,lat",6488,urn:cts:greekLit:tlg0057.tlg019.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg019.1st1K-grc1:1-5/
64,Galen,De Victu Attenuante,"grc,lat,eng",8800,urn:cts:greekLit:tlg0057.tlg019.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg019.opp-grc1:1-5/
65,Galen,De utilitate respirationis,"grc,eng,lat",6050,urn:cts:greekLit:tlg0057.tlg020.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg020.1st1K-grc1:1-5/
66,Galen,De semine,"grc,lat,eng",20793,urn:cts:greekLit:tlg0057.tlg021.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg021.1st1K-grc1:1.1/
67,Galen,De foetuum formatione,grc,7712,urn:cts:greekLit:tlg0057.tlg022.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg022.1st1K-grc1:1-5/
68,Galen,An in arteriis sanguis contineatur,"grc,eng,lat",4713,urn:cts:greekLit:tlg0057.tlg023.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg023.1st1K-grc1:1-5/
69,Galen,De optima corporis nostri constitutione,"grc,eng,lat",1766,urn:cts:greekLit:tlg0057.tlg024.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg024.1st1K-grc1:1-4/
70,Galen,De bono habitu,"grc,eng,lat",821,urn:cts:greekLit:tlg0057.tlg025.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg025.1st1K-grc1:1/
71,Galen,Quod animi mores corporis temperamenta sequantur,"grc,eng,lat",8377,urn:cts:greekLit:tlg0057.tlg027.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg027.1st1K-grc1:1-5/
72,Galen,De propriorum animi cuiuslibet affectuum dignotione et curatione,"grc,eng,lat",8194,urn:cts:greekLit:tlg0057.tlg028.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg028.1st1K-grc1:1-5/
73,Galen,De animi cuiuslibet peccatorum dignotione et curatione,"grc,eng,lat",6320,urn:cts:greekLit:tlg0057.tlg029.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg029.1st1K-grc1:1-5/
74,Galen,De atra bile,"grc,lat",6257,urn:cts:greekLit:tlg0057.tlg030.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg030.1st1K-grc1:1-5/
75,Galen,De usu pulsuum,"grc,lat",4468,urn:cts:greekLit:tlg0057.tlg031.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg031.1st1K-grc1:1-5/
76,Galen,De placitis Hippocratis et Platonis,"grc,lat",94755,urn:cts:greekLit:tlg0057.tlg032.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg032.1st1K-grc1:1.5/
77,Galen,De parvae pilae exercitio,"grc,lat",1700,urn:cts:greekLit:tlg0057.tlg034.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg034.1st1K-grc1:1-5/
78,Galen,De parvae pilae exercitio,"grc,lat",1712,urn:cts:greekLit:tlg0057.tlg034.1st1K-grc2,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg034.1st1K-grc2:1-5/
79,Galen,De venereis,"grc,lat",396,urn:cts:greekLit:tlg0057.tlg035.1st1K-grc2,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg035.1st1K-grc2:1/
80,Galen,De venereis (ap. Oribasium),"grc,lat",849,urn:cts:greekLit:tlg0057.tlg035.1st1K-grc3,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg035.1st1K-grc3:1-3/
81,Galen,De sanitate tuenda,"lat,grc",66881,urn:cts:greekLit:tlg0057.tlg036.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg036.1st1K-grc1:1.1/
82,Galen,De rebus boni malique suci,"lat,grc",10187,urn:cts:greekLit:tlg0057.tlg038.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg038.1st1K-grc1:1-5/
83,Galen,De ptisana,"grc,lat",2212,urn:cts:greekLit:tlg0057.tlg039.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg039.1st1K-grc1:1-5/
84,Galen,De dignotione ex insomniis,"grc,lat",503,urn:cts:greekLit:tlg0057.tlg040.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg040.1st1K-grc1:1/
85,Galen,De morborum differentiis,grc,6645,urn:cts:greekLit:tlg0057.tlg041.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg041.1st1K-grc1:1-5/
86,Galen,De causis morborum,grc,6085,urn:cts:greekLit:tlg0057.tlg042.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg042.1st1K-grc1:1-5/
87,Galen,De symptomatum differentiis,grc,6621,urn:cts:greekLit:tlg0057.tlg043.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg043.1st1K-grc1:1-5/
88,Galen,De symptomatum causis,grc,29418,urn:cts:greekLit:tlg0057.tlg044.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg044.1st1K-grc1:1.1/
89,Galen,De differentiis febrium,grc,20902,urn:cts:greekLit:tlg0057.tlg045.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg045.1st1K-grc1:1.1/
90,Galen,De morborum temporibus,grc,5294,urn:cts:greekLit:tlg0057.tlg046.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg046.1st1K-grc1:1-5/
91,Galen,De totius morbi temporibus,grc,3538,urn:cts:greekLit:tlg0057.tlg047.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg047.1st1K-grc1:1-5/
92,Galen,De typis,grc,1581,urn:cts:greekLit:tlg0057.tlg048.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg048.1st1K-grc1:1-5/
93,Galen,Adversus eos qui de typis scripserunt vel de circuitibus,grc,5606,urn:cts:greekLit:tlg0057.tlg049.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg049.1st1K-grc1:1-5/
94,Galen,De plenitudine,grc,11076,urn:cts:greekLit:tlg0057.tlg050.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg050.1st1K-grc1:1-5/
95,Galen,"De tremore, palpitatione, convulsione et rigore",grc,9114,urn:cts:greekLit:tlg0057.tlg051.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg051.1st1K-grc1:1-5/
96,Galen,De comate secundum Hippocratem,grc,3251,urn:cts:greekLit:tlg0057.tlg052.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg052.1st1K-grc1:1-4/
97,Galen,De marcore,grc,5803,urn:cts:greekLit:tlg0057.tlg053.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg053.1st1K-grc1:1-5/
98,Galen,De tumoribus praeter naturam,grc,4221,urn:cts:greekLit:tlg0057.tlg054.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg054.1st1K-grc1:1-5/
99,Galen,De inaequali intemperie,grc,3158,urn:cts:greekLit:tlg0057.tlg055.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg055.1st1K-grc1:1-5/
100,Galen,De difficultate respirationis,grc,31842,urn:cts:greekLit:tlg0057.tlg056.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg056.1st1K-grc1:1.1/
101,Galen,De locis affectis,grc,69856,urn:cts:greekLit:tlg0057.tlg057.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg057.1st1K-grc1:1.1/
102,Galen,De pulsibus ad tirones,grc,5977,urn:cts:greekLit:tlg0057.tlg058.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg058.1st1K-grc1:1-5/
103,Galen,De differentiis pulsuum,grc,42806,urn:cts:greekLit:tlg0057.tlg059.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg059.1st1K-grc1:1.1/
104,Galen,De dignoscendis pulsibus,grc,31232,urn:cts:greekLit:tlg0057.tlg060.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg060.1st1K-grc1:1.1/
105,Galen,De causis pulsuum,grc,32090,urn:cts:greekLit:tlg0057.tlg061.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg061.1st1K-grc1:1.1/
106,Galen,De praesagitione ex pulsibus,grc,36318,urn:cts:greekLit:tlg0057.tlg062.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg062.1st1K-grc1:1.1/
107,Galen,Synopsis librorum suorum de pulsibus,grc,15724,urn:cts:greekLit:tlg0057.tlg063.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg063.1st1K-grc1:1-5/
108,Galen,De crisibus,grc,33858,urn:cts:greekLit:tlg0057.tlg064.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg064.1st1K-grc1:1.1/
109,Galen,De diebus decretoriis,grc,27265,urn:cts:greekLit:tlg0057.tlg065.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg065.1st1K-grc1:1.1/
110,Galen,De methodo medendi,grc,157549,urn:cts:greekLit:tlg0057.tlg066.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg066.1st1K-grc1:1.1/
111,Galen,Ad Glauconem de methodo medendi,grc,22890,urn:cts:greekLit:tlg0057.tlg067.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg067.1st1K-grc1:1.1/
112,Galen,De venae sectione adversus Erasistratum,grc,5971,urn:cts:greekLit:tlg0057.tlg068.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg068.1st1K-grc1:1-5/
113,Galen,De venae sectione adversus Erasistrateos Romae degentes,grc,9042,urn:cts:greekLit:tlg0057.tlg069.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg069.1st1K-grc1:1-5/
114,Galen,De curandi ratione per venae sectionem,grc,10057,urn:cts:greekLit:tlg0057.tlg070.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg070.1st1K-grc1:1-5/
115,Galen,"De hirudinibus, revulsione, cucurbitula, incisione et scarificatione",grc,704,urn:cts:greekLit:tlg0057.tlg071.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg071.1st1K-grc1:1-4/
116,Galen,De purgantium medicamentorum facultate,grc,2973,urn:cts:greekLit:tlg0057.tlg072.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg072.1st1K-grc1:1-5/
117,Galen,Quos quibus catharticis medicamentis et quando purgare oporteat,grc,1996,urn:cts:greekLit:tlg0057.tlg073.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg073.1st1K-grc1:1/
118,Galen,Quos quibus catharticis medicamentis et quando purgare oporteat (ap. Oribasium),"grc,lat,deu",2723,urn:cts:greekLit:tlg0057.tlg073.1st1K-grc2,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg073.1st1K-grc2:1.1-1.2/
119,Galen,Pro puero epileptico consilium,grc,3219,urn:cts:greekLit:tlg0057.tlg074.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg074.1st1K-grc1:1-5/
120,Galen,De simplicium medicamentorum temperamentis ac facultatibus I-VI,grc,66926,urn:cts:greekLit:tlg0057.tlg075.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg075.1st1K-grc1:6.1.1-6.1.5/
121,Galen,De compositione medicamentorum secundum locos I-VI,grc,142969,urn:cts:greekLit:tlg0057.tlg076.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg076.1st1K-grc1:1.1/
122,Galen,De compositione medicamentorum per genera,grc,104110,urn:cts:greekLit:tlg0057.tlg077.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg077.1st1K-grc1:1.1/
123,Galen,De antidotis,grc,27902,urn:cts:greekLit:tlg0057.tlg078.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg078.1st1K-grc1:1.1/
124,Galen,De theriaca ad Pisonem,grc,13019,urn:cts:greekLit:tlg0057.tlg079.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg079.1st1K-grc1:1-5/
125,Galen,Institutio logica,grc,8557,urn:cts:greekLit:tlg0057.tlg081.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg081.1st1K-grc1:1-5/
126,Galen,De sophismatis seu captionibus penes dictionem,grc,2530,urn:cts:greekLit:tlg0057.tlg082.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0057.tlg082.1st1K-grc1:1-4/
