	Cases	Singular	Dual	Plural
0	Nominative	ερημοσυνη	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
1	Genitive	ερημοσυνη	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
2	Dative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
3	Accusative	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
4	Vocative	ερημοσυνη	ERROR: Nothing found with those parameters	ERROR: Nothing found with those parameters
